trial,score,enabled,length,std,min_bandwidth_pct,expansion_lookback,expansion_min_ratio,min_mid_distance,tr_on_return_pct,tr_on_pf,tr_on_sharpe,tr_on_max_dd,tr_on_trades,tr_on_wins,tr_on_losses,tr_on_win_rate,tr_on_gross_profit,tr_on_gross_loss,tr_on_net_pnl,tr_on_fees,tr_on_blocked,tr_on_head_dropped,va_on_return_pct,va_on_pf,va_on_sharpe,va_on_max_dd,va_on_trades,va_on_wins,va_on_losses,va_on_win_rate,va_on_gross_profit,va_on_gross_loss,va_on_net_pnl,va_on_fees,va_on_blocked,va_on_head_dropped,c_gate_shortfall,c_valid_trade_ratio,c_reason,c_va_pf,c_va_netpnl,c_va_dd,c_tr_pf,c_tr_netpnl,c_tr_dd
82,0.21122907910252833,True,11,2.9000000000000004,0.1,18,0.5,0.11,19.544282279499566,1.1564448165782402,0.5887277056195878,20.277992890638163,103.0,25.0,78.0,24.271844660194176,14446.91,12492.520000000002,1954.3899999999976,1609.02,73.0,1.0,52.23021892499986,2.033477580369739,2.6108098590438074,17.96616713204923,49.0,16.0,33.0,32.6530612244898,10276.849999999999,5053.83,5223.019999999999,813.24,30.0,2.0,,0.8305084745762712,,0.05598317364329669,-0.001443454558932869,0.015642119513600075,0.01576241057565704,0.1329005268947948,-0.007615696965887417
93,0.2105479867069574,True,11,2.9000000000000004,0.1,17,0.45,0.11,17.71217997299962,1.1406509688141961,0.5499991736898967,20.277992890638163,105.0,25.0,80.0,23.80952380952381,14364.48,12593.23,1771.25,1630.68,63.0,1.0,56.16755347749993,2.0852195552670274,2.6791033050297726,18.280090912725903,51.0,17.0,34.0,33.333333333333336,10792.45,5175.69,5616.760000000001,848.97,24.0,2.0,,0.864406779661017,,0.07215254079869934,0.013524830877838635,0.01329447722039468,0.012801064119898786,0.10639077065601336,-0.007615696965887417
116,0.20070875350868012,True,10,2.9000000000000004,0.30000000000000004,17,0.35000000000000003,0.14,16.907819625499595,1.134082939339486,0.5324901330205836,19.25077101898077,105.0,25.0,80.0,23.80952380952381,14300.99,12610.18,1690.8099999999995,1628.47,72.0,1.0,56.893174625999876,2.0652804433917225,2.6992178742839936,18.13857919153205,52.0,17.0,35.0,32.69230769230769,11029.94,5340.649999999999,5689.290000000002,870.09,25.0,2.0,,0.8813559322033898,,0.06592156833766655,0.016282106599708496,0.014352756083317625,0.011569558593390636,0.09474697469747005,-0.002164210802873248
126,0.1949962535793575,True,13,2.9000000000000004,0.1,16,0.45,0.09,21.433970362499693,1.1667805309238723,0.6273527901343563,19.453640764905895,107.0,27.0,80.0,25.233644859813083,14994.95,12851.56,2143.3900000000012,1706.8,62.0,1.0,49.390199896999874,1.9411618986278036,2.452860929081002,17.96616713204923,51.0,16.0,35.0,31.372549019607842,10186.810000000001,5247.79,4939.020000000001,840.73,26.0,2.0,,0.864406779661017,,0.027134523098941918,-0.012239901615475356,0.015642119513600075,0.017700357015463075,0.15,-0.0032408444331722313
91,0.19267901768985293,True,11,2.9000000000000004,0.1,15,0.45,0.11,16.32897067699967,1.1289462857395551,0.5194475459154588,20.277992890638163,106.0,25.0,81.0,23.58490566037736,14296.4,12663.49,1632.9099999999999,1636.84,65.0,1.0,57.50463824249995,2.0828779324864324,2.7207876689593276,18.280090912725903,53.0,18.0,35.0,33.9622641509434,11060.79,5310.339999999999,5750.450000000002,888.12,21.0,2.0,,0.8983050847457628,,0.0714207836797634,0.01860714428273013,0.01329447722039468,0.010606436043403597,0.08636587342944854,-0.007615696965887417
138,0.19060798970485945,True,14,2.9000000000000004,0.0,13,0.55,0.12,16.553558442999766,1.134537206055178,0.534306911130185,19.709861622418966,102.0,24.0,78.0,23.529411764705884,13959.55,12304.18,1655.369999999999,1575.39,99.0,1.0,54.90456831499995,2.0735460029133717,2.658858771903401,17.823674744569225,49.0,16.0,33.0,32.6530612244898,10604.84,5114.349999999999,5490.490000000001,813.75,34.0,1.0,,0.8305084745762712,,0.06850455568818192,0.008724593660128642,0.01670773217469506,0.011654733602582873,0.08961698801459116,-0.004600613435320191
143,0.18771061964837366,True,13,2.9000000000000004,0.1,12,0.5,0.14,12.404899598999764,1.0989097032740796,0.43997622761650035,21.196221731539463,105.0,24.0,81.0,22.857142857142858,13782.02,12541.54,1240.4799999999996,1600.81,88.0,1.0,60.667467853499936,2.2407055575438415,2.8443016786130535,18.14688388965576,49.0,17.0,32.0,34.69387755102041,10956.49,4889.75,6066.74,816.3100000000001,31.0,2.0,,0.8305084745762712,,0.12074191651020375,0.030631116957074624,0.01429065036929524,0.004974576831126926,0.02956111400613767,-0.012488755025464562
83,0.16687551457398195,True,12,2.8,0.5,18,0.55,0.13,16.114670638499735,1.1338199634612192,0.5241218983258106,22.407791482532684,98.0,23.0,75.0,23.46938775510204,13653.460000000001,12042.0,1611.460000000001,1479.6,116.0,1.0,51.79864650199981,2.1016708352474778,2.6078013999672147,17.81096647522111,42.0,13.0,29.0,30.952380952380953,9881.720000000001,4701.84,5179.880000000001,694.76,45.0,2.0,,0.711864406779661,,0.07729356579259009,-0.003083450073085057,0.01680276948130104,0.011520250616215602,0.08326095767471534,-0.018918578917755058
98,0.16486659328677658,True,11,3.0,0.0,19,0.55,0.16,13.252949339499665,1.1078376885088628,0.46023415712057847,23.19529379677015,98.0,23.0,75.0,23.46938775510204,13614.450000000003,12289.210000000001,1325.2400000000016,1497.85,109.0,1.0,55.50689741199983,2.1783103219889957,2.7562872847075033,16.416769220884568,43.0,14.0,29.0,32.55813953488372,10261.41,4710.719999999999,5550.6900000000005,730.88,42.0,2.0,,0.7288135593220338,,0.10124340539931442,0.011013136310846466,0.027229110653339893,0.006648574062648779,0.04183023565514499,-0.023097868794517973
99,0.16486659328677658,True,11,3.0,0.0,19,0.55,0.16,13.252949339499665,1.1078376885088628,0.46023415712057847,23.19529379677015,98.0,23.0,75.0,23.46938775510204,13614.450000000003,12289.210000000001,1325.2400000000016,1497.85,109.0,1.0,55.50689741199983,2.1783103219889957,2.7562872847075033,16.416769220884568,43.0,14.0,29.0,32.55813953488372,10261.41,4710.719999999999,5550.6900000000005,730.88,42.0,2.0,,0.7288135593220338,,0.10124340539931442,0.011013136310846466,0.027229110653339893,0.006648574062648779,0.04183023565514499,-0.023097868794517973
101,0.16486659328677658,True,11,3.0,0.0,19,0.55,0.16,13.252949339499665,1.1078376885088628,0.46023415712057847,23.19529379677015,98.0,23.0,75.0,23.46938775510204,13614.450000000003,12289.210000000001,1325.2400000000016,1497.85,109.0,1.0,55.50689741199983,2.1783103219889957,2.7562872847075033,16.416769220884568,43.0,14.0,29.0,32.55813953488372,10261.41,4710.719999999999,5550.6900000000005,730.88,42.0,2.0,,0.7288135593220338,,0.10124340539931442,0.011013136310846466,0.027229110653339893,0.006648574062648779,0.04183023565514499,-0.023097868794517973
103,0.16486659328677658,True,11,3.0,0.1,19,0.55,0.16,13.252949339499665,1.1078376885088628,0.46023415712057847,23.19529379677015,98.0,23.0,75.0,23.46938775510204,13614.450000000003,12289.210000000001,1325.2400000000016,1497.85,109.0,1.0,55.50689741199983,2.1783103219889957,2.7562872847075033,16.416769220884568,43.0,14.0,29.0,32.55813953488372,10261.41,4710.719999999999,5550.6900000000005,730.88,42.0,2.0,,0.7288135593220338,,0.10124340539931442,0.011013136310846466,0.027229110653339893,0.006648574062648779,0.04183023565514499,-0.023097868794517973
105,0.16345174545405025,True,10,3.0,0.30000000000000004,19,0.6000000000000001,0.17,13.731633344999771,1.112105986780228,0.4711773216114913,23.19529379677015,98.0,23.0,75.0,23.46938775510204,13621.43,12248.319999999998,1373.1100000000024,1497.86,118.0,1.0,54.96590432199984,2.1556295150072744,2.7410868203280883,16.416769220884568,43.0,14.0,29.0,32.55813953488372,10252.949999999999,4756.36,5496.589999999999,730.3100000000001,46.0,2.0,,0.7288135593220338,,0.09415565321752653,0.008956489177892353,0.027229110653339893,0.007448879988529777,0.048759481211279675,-0.023097868794517973
121,0.15891356421216452,True,10,2.9000000000000004,0.2,18,0.45,0.15,10.133742751999762,1.0799662243476682,0.38738204126824793,23.19767227214472,105.0,24.0,81.0,22.857142857142858,13685.17,12671.85,1013.3199999999997,1589.53,82.0,1.0,61.614597133499935,2.25392164045456,2.891356678699331,16.739220884401078,47.0,16.0,31.0,34.04255319148936,11075.23,4913.76,6161.469999999999,805.9,32.0,2.0,,0.7966101694915254,,0.12487194241980332,0.03423234030096996,0.02481769358530494,0.0014226745324247975,-0.003320595217416294,-0.023110491408922216
127,0.15702272140716556,True,13,2.9000000000000004,0.2,16,0.4,0.09,18.006013397499647,1.1391739469512465,0.5558596455065818,20.268641628231094,109.0,27.0,82.0,24.770642201834864,14738.53,12937.91,1800.6200000000008,1705.57,53.0,1.0,52.03537696449988,1.9513337111724591,2.4787685061794322,18.280090912725903,53.0,17.0,36.0,32.075471698113205,10673.21,5469.7,5203.509999999999,874.72,22.0,2.0,,0.8983050847457628,,0.03031321451914676,-0.0021851400591903986,0.01329447722039468,0.012524122520595732,0.11064211684326379,-0.007566069637045013
43,0.14880396147755157,True,10,2.8,0.30000000000000004,15,0.45,0.1,14.46321538899958,1.1098638409388708,0.47893339843597266,20.268641628231094,110.0,26.0,84.0,23.636363636363637,14611.080000000002,13164.750000000002,1446.33,1715.41,58.0,1.0,59.63423875599981,2.0568287746732974,2.757888512007886,20.057811719351825,55.0,18.0,37.0,32.72727272727273,11606.150000000001,5642.74,5963.410000000002,921.85,16.0,2.0,,0.9322033898305084,,0.06328042186315871,0.02670295894879108,0.0,0.0070284776432752855,0.05935817265937151,-0.007566069637045013
109,0.13757100331847738,True,14,2.9000000000000004,0.1,18,0.5,0.15,12.089076177499683,1.097414983089691,0.43320272999250975,23.189353482112868,101.0,23.0,78.0,22.77227722772277,13618.470000000001,12409.59,1208.880000000001,1542.6,104.0,1.0,56.09547933449981,2.1774404463298063,2.7698272276332787,17.820195628637627,46.0,16.0,30.0,34.78260869565217,10373.74,4764.19,5609.55,766.35,40.0,2.0,,0.7796610169491526,,0.10097156925581774,0.013250737978973557,0.01673375033644877,0.0046943167965540905,0.024986972381449087,-0.02306634343076585
59,0.1357967567343358,True,12,2.7,0.2,15,0.5,0.11,15.113726214999751,1.1165710891974963,0.4999739470869733,21.44998490089974,108.0,26.0,82.0,24.074074074074073,14476.4,12965.050000000001,1511.3499999999985,1668.85,75.0,1.0,54.14739391449987,2.0178217970672323,2.624414576355498,17.96616713204923,52.0,17.0,35.0,32.69230769230769,10734.59,5319.89,5414.7,865.03,25.0,2.0,,0.8813559322033898,,0.051090741361263375,0.005843386891060429,0.015642119513600075,0.008286086691767558,0.06876990330612022,-0.013835481029475861
123,0.1334232920178695,True,10,2.9000000000000004,0.1,16,0.4,0.11,12.277683499999675,1.0951429992886068,0.4312218191439297,20.277992890638163,108.0,25.0,83.0,23.14814814814815,14132.01,12904.260000000002,1227.7499999999982,1647.29,58.0,1.0,60.96877378849982,2.1016136988231975,2.8048802969162714,20.057811719351825,54.0,18.0,36.0,33.333333333333336,11631.36,5534.490000000001,6096.87,903.9300000000001,19.0,2.0,,0.9152542372881356,,0.0772757106600025,0.031776528752193035,0.0,0.004268319833850787,0.02771842973771062,-0.007615696965887417
64,0.12119327494713536,True,15,2.7,0.2,15,0.5,0.11,14.52683356749967,1.115646653844194,0.4894909176430274,21.389217676310714,106.0,25.0,81.0,23.58490566037736,14013.95,12561.280000000002,1452.6699999999983,1634.46,79.0,1.0,51.86046417349982,2.022117457852269,2.5521036217132185,17.820195628637627,48.0,16.0,32.0,33.333333333333336,10259.86,5073.82,5186.040000000001,794.56,34.0,2.0,,0.8135593220338984,,0.05243313535658739,-0.002849273615802308,0.01673375033644877,0.008112755063023391,0.060275896010653765,-0.013512988203775656
52,0.1181374506642069,True,10,2.9000000000000004,0.2,17,0.4,0.1,12.302940755499677,1.093038873079241,0.4316353846973182,20.268641628231094,111.0,26.0,85.0,23.423423423423422,14453.57,13223.290000000003,1230.279999999997,1710.69,55.0,1.0,60.05146477649988,2.063788515976801,2.7721842105808965,20.057811719351825,56.0,19.0,37.0,33.92857142857143,11650.21,5645.0599999999995,6005.15,941.53,17.0,2.0,,0.9491525423728814,,0.0654553410205036,0.02828973254083357,0.0,0.003873796169594712,0.028084650570320033,-0.007566069637045013
56,0.1181374506642069,True,10,2.9000000000000004,0.2,16,0.4,0.1,12.302940755499677,1.093038873079241,0.4316353846973182,20.268641628231094,111.0,26.0,85.0,23.423423423423422,14453.57,13223.290000000003,1230.279999999997,1710.69,54.0,1.0,60.05146477649988,2.063788515976801,2.7721842105808965,20.057811719351825,56.0,19.0,37.0,33.92857142857143,11650.21,5645.0599999999995,6005.15,941.53,17.0,2.0,,0.9491525423728814,,0.0654553410205036,0.02828973254083357,0.0,0.003873796169594712,0.028084650570320033,-0.007566069637045013
145,0.11581640702781928,True,12,2.9000000000000004,0.30000000000000004,13,0.5,0.09,17.36709905949965,1.13198734161823,0.5410214795054176,20.306368790995315,109.0,27.0,82.0,24.770642201834864,14894.78,13158.08,1736.7000000000007,1726.49,65.0,1.0,50.434887668999906,1.9154532550651084,2.415946734275929,20.033068020567175,53.0,16.0,37.0,30.18867924528302,10552.73,5509.26,5043.469999999999,855.12,23.0,2.0,,0.8983050847457628,,0.019100571985599668,-0.008269166069504046,0.00018504285859442308,0.011176634020655135,0.10138961264547557,-0.007766288413001456
88,0.09607059681310423,True,12,2.8,0.4,17,0.6000000000000001,0.06,15.836337607999647,1.1238076698462136,0.5095353682537913,19.45314356782138,105.0,25.0,80.0,23.80952380952381,14374.769999999999,12791.13,1583.6399999999994,1641.31,79.0,1.0,49.05416412299984,1.9127758550109784,2.4128598094463847,19.297692330643844,47.0,14.0,33.0,29.78723404255319,10279.640000000001,5374.200000000001,4905.4400000000005,767.66,43.0,1.0,,0.7966101694915254,,0.018263884468684016,-0.013516467432935601,0.005684463983485914,0.009642945563402061,0.07923397602918213,-0.0032382057987142806
57,0.09392145637913117,True,11,3.0,0.2,16,0.4,0.1,16.115694171499708,1.124667271592246,0.5146017263660451,20.268641628231094,108.0,26.0,82.0,24.074074074074073,14538.81,12927.210000000001,1611.5999999999985,1674.38,58.0,1.0,50.311305719499835,1.9091845512176435,2.4551403378287446,20.057811719351825,54.0,17.0,37.0,31.48148148148148,10564.74,5533.639999999999,5031.1,882.66,19.0,2.0,,0.9152542372881356,,0.01714160203326688,-0.008739419767002007,0.0,0.009804120890783155,0.08328122285912816,-0.007566069637045013
