stage,trial,score,gated,ema_period,rsi_period,rsi_overbought,rsi_oversold,atr_period,consolidation_candles,consolidation_atr_mult,swing_lookback,volume_sma_period,volume_mult,risk_reward_ratio,leverage,risk_per_trade_pct,max_position_allocation_pct,tr_return_pct,tr_pf,tr_sharpe,tr_max_dd,tr_trades,tr_wins,tr_losses,tr_win_rate,tr_gross_profit,tr_gross_loss,tr_net_pnl,tr_fees,tr_blocked,tr_head_dropped,va_return_pct,va_pf,va_sharpe,va_max_dd,va_trades,va_wins,va_losses,va_win_rate,va_gross_profit,va_gross_loss,va_net_pnl,va_fees,va_blocked,va_head_dropped,c_gate_shortfall,c_va_ret,c_va_pf,c_va_dd,c_va_sample,c_tr_ret,c_tr_pf,c_consistency
1b_narrow,0,-1.0254367332282184,False,65,21,79.0,36.0,8,4,1.4000000000000001,20,44,1.2,2.7,1.0,0.015,0.5,3.314976684499925,1.0744630189543865,0.30246965294182887,9.492595306457927,116,34,82,29.310344827586206,4783.2300000000005,4451.74,331.4900000000007,591.81,0,2,-2.102950579500066,0.9118295617469753,-0.2750160915908719,8.094917663627044,55,15,40,27.272727272727273,2175.06,2385.38,-210.32000000000016,266.75,0,1,0.15262039936930996,,,,,,,
1b_narrow,1,-1.007080554619167,False,88,21,77.0,27.0,8,4,2.7,18,40,1.2,2.7,1.0,0.015,0.5,-4.248332771500155,0.9635195657868183,-0.1489442717625095,18.50097057485154,261,75,186,28.735632183908045,11219.27,11644.05,-424.77999999999884,1337.6,0,5,11.128746951999927,1.2537860043828941,1.1926416223248373,10.33879027732891,97,31,66,31.95876288659794,5498.139999999999,4385.2300000000005,1112.909999999999,490.76,0,3,0.042483327715001545,,,,,,,
1b_narrow,2,-1.027599637722818,False,62,19,78.0,40.0,8,5,2.8,16,44,1.0,2.7,1.0,0.015,0.5,-1.55038480800049,0.9844415567474276,-0.007090351733351126,15.905699388104999,245,74,171,30.20408163265306,9810.600000000002,9965.65,-155.04999999999745,1246.89,0,7,-3.6869505695000955,0.9311143038100022,-0.33074279749560137,14.974031889479095,126,39,87,30.952380952380953,4983.779999999999,5352.490000000001,-368.71000000000186,617.39,0,5,0.16559782633690862,,,,,,,
1b_narrow,3,-1.0522903893509465,False,88,21,80.0,29.0,7,6,2.4000000000000004,16,42,1.0,3.2,1.0,0.015,0.5,-2.174386369999993,0.9794656982427639,-0.04216378639865835,22.415660672577577,233,59,174,25.321888412017167,10370.24,10587.650000000001,-217.41000000000167,1229.15,0,5,-7.891051880500036,0.826257648719287,-0.8492844851843679,12.616374653280657,95,21,74,22.105263157894736,3752.5400000000004,4541.61,-789.0699999999993,444.63,0,2,0.31374233610567936,,,,,,,
1b_narrow,4,-1.0153110090556374,False,61,20,78.0,34.0,12,4,3.9,19,47,1.3,3.0,1.0,0.015,0.5,5.304928770499736,1.0582747279546008,0.3355962624602563,12.387757368290961,194,57,137,29.38144329896907,9633.75,9103.26,530.4899999999998,1024.31,0,6,-1.4542679365000912,0.968810456282735,-0.0647569508307991,15.67337309569453,93,27,66,29.032258064516128,4517.04,4662.459999999999,-145.41999999999916,445.24,0,3,0.09186605433382476,,,,,,,
1b_narrow,5,-1.027182577107226,False,86,18,77.0,23.0,10,5,2.0,20,41,1.1,3.0,1.0,0.015,0.5,9.241907770499983,1.1017304915203494,0.539795649149546,13.656175721644493,193,57,136,29.533678756476682,10009.529999999999,9085.279999999999,924.25,1057.75,0,4,-3.2310638390000346,0.9126759345339762,-0.32904137456659466,10.09745353027222,81,18,63,22.22222222222222,3377.12,3700.24,-323.1199999999999,396.2,0,1,0.16309546264335636,,,,,,,
1b_narrow,6,-1.0085034013605443,False,56,21,77.0,44.0,14,4,1.3,20,45,1.2,3.1,1.0,0.015,0.5,0.3659320809998462,1.0100385317379843,0.0729943677525684,10.199528760820693,93,26,67,27.956989247311828,3685.5699999999997,3648.9399999999996,36.63000000000011,462.7,0,0,5.427076952999942,1.2817830161738362,0.9226236765584591,5.877140995150018,51,15,36,29.41176470588235,2468.6499999999996,1925.95,542.6999999999996,261.35,0,1,0.05102040816326525,,,,,,,
1b_narrow,7,0.14605234533993916,True,53,19,77.0,41.0,13,4,1.4000000000000001,17,41,1.2,3.0,1.0,0.015,0.5,4.632148418499855,1.0897517628115077,0.4044798652721888,7.990929079421058,138,37,101,26.81159420289855,5623.9800000000005,5160.79,463.1900000000005,728.09,0,1,10.27151982299998,1.4324574662024192,1.5272810678346187,7.09659508280618,69,25,44,36.231884057971016,3402.33,2375.17,1027.1599999999999,361.24,0,1,,0.03081455946899994,0.1081143665506048,-0.0,0.05476190476190477,0.004632148418499855,0.004487588140575383,-0.05675822200064558
1b_narrow,8,-1.0085772675955742,False,85,19,77.0,38.0,14,5,3.3,18,43,1.1,2.7,1.0,0.015,0.5,-3.2918821245001526,0.972041317597179,-0.09328017889075421,17.42085345008462,266,76,190,28.571428571428573,11444.970000000001,11774.16,-329.1899999999987,1371.55,0,5,1.352862745999937,1.0305279764551347,0.22062045536842173,12.965027457165226,98,28,70,28.571428571428573,4565.950000000001,4430.69,135.26000000000113,473.41,0,3,0.05146360557344469,,,,,,,
1b_narrow,9,-1.0282003769291832,False,55,18,79.0,29.0,12,6,1.9000000000000001,18,45,1.0,2.7,1.0,0.015,0.5,10.026414919999787,1.1503051942990425,0.6533294301101593,10.782149547390741,186,60,126,32.25806451612903,7673.870000000001,6671.160000000001,1002.71,1019.98,0,3,-3.0940383615000973,0.9048250281418967,-0.43896651942092946,8.343685887964728,86,27,59,31.3953488372093,2941.9300000000003,3251.38,-309.4499999999998,427.1,0,3,0.1692022615750994,,,,,,,
