trial,score,gated,ema_period,rsi_period,rsi_overbought,rsi_oversold,atr_period,consolidation_candles,consolidation_atr_mult,swing_lookback,volume_sma_period,volume_mult,risk_reward_ratio,leverage,risk_per_trade_pct,max_position_allocation_pct,tr_return_pct,tr_pf,tr_sharpe,tr_max_dd,tr_trades,tr_wins,tr_losses,tr_win_rate,tr_gross_profit,tr_gross_loss,tr_net_pnl,tr_fees,tr_blocked,tr_head_dropped,va_return_pct,va_pf,va_sharpe,va_max_dd,va_trades,va_wins,va_losses,va_win_rate,va_gross_profit,va_gross_loss,va_net_pnl,va_fees,va_blocked,va_head_dropped,c_va_ret,c_va_pf,c_va_dd,c_va_sample,c_tr_ret,c_tr_pf,c_consistency,c_gate_shortfall
217,0.21948638088768396,True,65,21,62.0,22.0,12,14,3.7,4,28,2.0,3.8000000000000003,2.0,0.026000000000000002,0.65,13.701789745499827,1.0803102810640055,0.46271543069350074,23.551527418148098,148.0,36.0,112.0,24.324324324324323,18432.200000000004,17061.949999999997,1370.2500000000073,2345.73,0.0,2.0,38.67653440249991,1.5526491769547324,1.9412694211610129,20.40761282849032,63.0,16.0,47.0,25.396825396825395,10866.06,6998.400000000001,3867.659999999999,949.4,0.0,2.0,0.11602960320749973,0.1381622942386831,-0.030900644734230393,0.05,0.013701789745499827,0.004015514053200275,-0.07152217562296857,
218,0.24095864170679607,True,70,21,62.0,22.0,12,14,3.7,4,29,2.0,3.8000000000000003,2.0,0.025,0.65,11.784839819999707,1.0692925451346753,0.42188311070372886,24.26892924576629,148.0,35.0,113.0,23.64864864864865,18185.330000000005,17006.879999999997,1178.450000000008,2331.62,0.0,2.0,43.09049823649986,1.6385309001459618,2.1566376969979553,19.556075464798646,61.0,16.0,45.0,26.229508196721312,11057.380000000001,6748.349999999999,4309.030000000002,941.34,0.0,3.0,0.12927149470949958,0.15963272503649045,-0.02603471694170655,0.048412698412698414,0.011784839819999707,0.003464627256733766,-0.08557302658691932,
219,0.14575214802396216,True,74,21,62.0,21.0,11,14,3.5,14,27,2.0,3.8000000000000003,2.0,0.026000000000000002,0.65,14.697056415999759,1.084835302864479,0.48968498564618196,23.905155392127476,136.0,30.0,106.0,22.058823529411764,18793.600000000006,17323.92,1469.6800000000076,2135.85,0.0,1.0,18.081144388499833,1.2796290768833425,1.0755042575142295,19.32393751343802,54.0,13.0,41.0,24.074074074074073,8274.119999999999,6466.03,1808.0899999999992,742.38,0.0,2.0,0.054243433165499504,0.06990726922083562,-0.024708214362502964,0.04285714285714286,0.01469705641599976,0.0042417651432239524,-0.015486304416236572,
220,0.03811874857594946,True,69,21,60.0,22.0,12,14,3.7,4,29,2.0,3.8000000000000003,2.5,0.025,0.65,13.131463026999555,1.0641503663599583,0.43626648820101566,30.323083812663327,147.0,35.0,112.0,23.80952380952381,21782.030000000006,20468.940000000002,1313.0900000000038,2963.39,0.0,2.0,8.93856772049985,1.125240807291119,0.6093706666731423,24.568006840471217,59.0,12.0,47.0,20.338983050847457,8031.3499999999985,7137.450000000001,893.8999999999978,917.64,0.0,3.0,0.026815703161499553,0.03131020182277977,-0.054674324802692666,0.046825396825396826,0.013131463026999555,0.0032075183179979152,-0.028497209776031488,
221,0.16592222088457503,True,67,21,62.0,22.0,12,14,3.6,4,30,2.0,3.8000000000000003,2.0,0.024,0.65,6.032088236499749,1.0359801237197044,0.28980363281625887,24.041018191353142,148.0,34.0,114.0,22.972972972972972,17366.860000000004,16763.699999999997,603.1600000000071,2261.8,0.0,2.0,31.02438080749993,1.5254840720315443,1.7318801172311495,16.68556001663823,56.0,14.0,42.0,25.0,9006.58,5904.08,3102.5,815.26,0.0,3.0,0.09307314242249978,0.1313710180078861,-0.009631771523647034,0.044444444444444446,0.006032088236499748,0.001799006185985219,-0.10116570688909321,
222,-1.0227751490850003,False,71,21,61.0,22.0,12,14,3.6,4,30,2.0,3.9000000000000004,2.0,0.025,0.65,-13.66508945100026,0.91764935590867,-0.24499312793431763,35.140919214033424,155.0,33.0,122.0,21.29032258064516,15227.4,16593.920000000002,-1366.5200000000023,2193.02,0.0,2.0,12.963648038499795,1.2113499713063438,0.856054421199561,17.882827061985253,57.0,12.0,45.0,21.05263157894737,7430.13,6133.76,1296.37,793.91,0.0,4.0,,,,,,,,0.1366508945100026
223,-1.038031823740834,False,66,21,62.0,21.0,12,14,3.7,4,48,2.0,3.8000000000000003,2.0,0.024,0.6000000000000001,-22.819094244500292,0.8227906492731922,-0.6003142811683626,38.680486836563375,136.0,24.0,112.0,17.647058823529413,10594.96,12876.86,-2281.9000000000015,1583.4,0.0,3.0,28.858226356499856,1.4566668090877293,1.7513897631875412,20.421498819147153,63.0,16.0,47.0,25.396825396825395,9205.099999999999,6319.290000000001,2885.8099999999977,835.05,0.0,2.0,,,,,,,,0.22819094244500293
224,0.1071766200519883,True,75,21,62.0,23.0,11,15,3.6,4,28,2.0,4.0,2.0,0.024,0.65,18.776676544999553,1.1146817791491228,0.5709780854314557,21.184805076614012,138.0,34.0,104.0,24.63768115942029,18250.93,16373.22,1877.710000000001,2212.95,0.0,1.0,13.926559380999862,1.2252250795278303,0.8918316361267231,21.583236707559887,56.0,12.0,44.0,21.428571428571427,7576.0199999999995,6183.37,1392.6499999999996,763.84,0.0,2.0,0.041779678142999585,0.05630626988195758,-0.03761849547177079,0.044444444444444446,0.018776676544999555,0.0057340889574561404,-0.02224604244809822,
225,-1.0052455507208338,False,77,21,61.0,22.0,12,14,3.7,4,29,2.0,3.8000000000000003,2.0,0.025,0.65,-3.1473304325003113,0.9809066489979755,0.05279910331212714,31.760823006330057,147.0,33.0,114.0,22.448979591836736,16166.450000000003,16481.129999999997,-314.67999999999483,2191.28,0.0,1.0,6.946870172999843,1.1075871831446178,0.536758915622507,22.41986938095706,61.0,12.0,49.0,19.672131147540984,7151.4800000000005,6456.81,694.6700000000001,811.12,0.0,2.0,,,,,,,,0.031473304325003115
226,0.08296473118795804,True,67,21,62.0,23.0,12,13,3.7,15,27,2.0,3.7,2.0,0.026000000000000002,0.65,5.4069265584998725,1.0312504154487396,0.2755221381963957,24.653288796511383,142.0,33.0,109.0,23.239436619718308,17841.219999999998,17300.569999999996,540.6500000000015,2080.99,0.0,2.0,25.361460935499853,1.3526486820204986,1.3812224606783663,22.030904553070823,62.0,16.0,46.0,25.806451612903224,9727.83,7191.6900000000005,2536.1399999999994,834.47,0.0,2.0,0.07608438280649955,0.08816217050512465,-0.04017659744611898,0.049206349206349205,0.0054069265584998725,0.0015625207724369817,-0.09728102121483324,
