trial,score,gated,ema_period,rsi_period,rsi_overbought,rsi_oversold,atr_period,consolidation_candles,consolidation_atr_mult,swing_lookback,volume_sma_period,volume_mult,risk_reward_ratio,risk_per_trade_pct,max_position_allocation_pct,leverage,tr_return_pct,tr_pf,tr_sharpe,tr_max_dd,tr_trades,tr_wins,tr_losses,tr_win_rate,tr_gross_profit,tr_gross_loss,tr_net_pnl,tr_fees,tr_blocked,va_return_pct,va_pf,va_sharpe,va_max_dd,va_trades,va_wins,va_losses,va_win_rate,va_gross_profit,va_gross_loss,va_net_pnl,va_fees,va_blocked
10,-10.0,False,87,14,80.0,20.0,15,4,2.2,20,12,0.9,2.4000000000000004,0.014000000000000002,0.75,4.0,-22.79476980925032,0.8772390802678737,-0.5715143212971643,42.05985596025029,230.0,69.0,161.0,30.0,16288.97,18568.45,-2279.4800000000014,2078.5,0.0,3.4945102604999376,1.0311198477987464,0.3533343474794062,21.194611580693927,120.0,40.0,80.0,33.333333333333336,11576.63,11227.240000000002,349.3899999999976,1350.58,0.0
11,-10.0,False,148,16,66.0,45.0,20,9,2.8,12,34,1.9000000000000001,2.1,0.005,0.3,3.0,3.901759031099882,1.1145915625321212,0.5158367065292895,6.656019934853649,99.0,38.0,61.0,38.38383838383838,3795.24,3405.0500000000006,390.18999999999915,488.54,0.0,10.83125045480001,1.8353629850147697,2.790181947385788,3.044298737065755,44.0,23.0,21.0,52.27272727272727,2379.7500000000005,1296.61,1083.1400000000006,260.38,0.0
12,-10.0,False,51,13,65.0,30.0,17,4,3.1,14,10,2.0,2.0,0.01,0.5,2.5,29.912325076899904,1.2750202272810853,1.4781812267809582,8.483663242804207,150.0,62.0,88.0,41.333333333333336,13867.63,10876.400000000001,2991.2299999999977,1493.32,0.0,1.3981005395499233,1.0277672927237258,0.24152270778236087,8.492110153049119,79.0,30.0,49.0,37.9746835443038,5173.39,5033.62,139.77000000000044,710.04,0.0
13,-10.0,False,101,17,62.0,45.0,17,9,2.1,4,36,1.3,2.7,0.011,0.35,3.5,-12.191219933549945,0.7948234193235674,-0.7501179839787842,20.111611093160782,90.0,24.0,66.0,26.666666666666668,4722.65,5941.76,-1219.1100000000006,889.48,0.0,-1.4824032453999825,0.9347536148953496,-0.18343735455884935,9.035875909855205,37.0,11.0,26.0,29.72972972972973,2123.6200000000003,2271.8500000000004,-148.23000000000002,417.79,0.0
14,-10.0,False,148,12,69.0,42.0,21,10,2.0,12,42,0.9,1.6,0.02,0.25,2.0,-8.999834990450072,0.6695452943249911,-1.0550219892394594,10.72836206975002,75.0,26.0,49.0,34.666666666666664,1823.52,2723.5200000000004,-900.0000000000005,351.95,0.0,-5.141663978450051,0.5617670121369153,-1.827625197235576,6.768408900033647,33.0,9.0,24.0,27.272727272727273,659.11,1173.2800000000002,-514.1700000000002,158.78,0.0
15,-10.0,False,120,16,80.0,40.0,15,6,2.8,6,15,1.4,2.2,0.011,0.5,4.0,-21.831174831150356,0.8780499521570656,-0.7796101966521328,24.341062334546653,242.0,78.0,164.0,32.231404958677686,15719.140000000001,17902.33,-2183.1900000000005,2617.16,0.0,12.46869343360002,1.1301854168276368,1.079466155556948,13.714234858459932,115.0,43.0,72.0,37.391304347826086,10824.17,9577.34,1246.83,1622.1,0.0
16,-10.0,False,44,18,60.0,29.0,14,15,3.5,11,29,1.1,3.0,0.026000000000000002,0.6000000000000001,2.5,-16.173317772650282,0.9535144019295126,-0.10770983996534261,37.04339682099146,287.0,78.0,209.0,27.177700348432055,33172.89,34790.130000000005,-1617.2400000000052,3927.69,0.0,-15.42066418690014,0.8877839203549416,-0.5335253670346592,34.380623228918125,132.0,34.0,98.0,25.757575757575758,12199.9,13741.970000000003,-1542.0700000000033,1723.92,0.0
17,-10.0,False,78,15,74.0,32.0,18,11,4.0,13,18,0.5,1.1,0.017,0.35,3.5,-52.34213701060011,0.8005316898912611,-1.9311564933550898,54.848766529078674,544.0,249.0,295.0,45.77205882352941,21006.64,26240.86,-5234.220000000001,4041.47,0.0,-25.086489764849993,0.7930186641452208,-1.7715300435784858,26.23495368484984,193.0,90.0,103.0,46.63212435233161,9611.41,12120.029999999999,-2508.619999999999,1784.85,0.0
18,-10.0,False,41,11,77.0,25.0,7,6,2.5,15,29,1.5,1.8,0.014000000000000002,0.45,2.0,9.01461059024994,1.050386182077149,0.430653825017391,15.276165997301991,243.0,96.0,147.0,39.50617283950617,18790.6,17889.230000000003,901.3699999999953,2188.71,0.0,6.645019714199899,1.0946208416753769,0.6576813765671261,12.166030515418285,115.0,47.0,68.0,40.869565217391305,7687.1500000000015,7022.66,664.4900000000016,930.31,0.0
19,-10.0,False,108,21,65.0,39.0,19,14,1.7000000000000002,20,43,1.8,2.5,0.008,0.35,4.0,-0.9342047439499948,0.0,-0.6125778976093526,1.3086311416720007,1.0,0.0,1.0,0.0,0.0,93.42,-93.42,13.96,0.0,,,,,,,,,,,,,
20,-10.0,False,133,10,59.0,43.0,9,20,3.0,9,38,0.8,2.9000000000000004,0.021,0.6000000000000001,3.0,-8.73827571045018,0.8137810226444528,-0.41404178874297565,16.15368493406407,46.0,12.0,34.0,26.08695652173913,3818.7,4692.539999999999,-873.8399999999992,775.61,0.0,0.4632101456500095,1.0560394889663185,0.12826321653332862,7.848247921660563,9.0,3.0,6.0,33.333333333333336,872.8800000000001,826.56,46.320000000000164,158.56,0.0
21,-10.0,False,67,21,73.0,34.0,9,5,1.0,18,33,1.6,1.0,0.029,0.7,1.0,1.409755631249991,99.0,0.5689446578467081,1.9489786972504963,1.0,1.0,0.0,100.0,140.98,0.0,140.98,7.07,0.0,,,,,,,,,,,,,
22,-10.0,False,69,19,70.0,38.0,10,7,1.8,18,46,2.0,1.3,0.03,0.7,1.5,-9.839577724800002,0.7206460606370324,-0.8255459700882347,13.834343874839117,34.0,14.0,20.0,41.1764705882353,2538.3099999999995,3522.269999999999,-983.9599999999996,340.18,0.0,-8.035811285799992,0.6704830171038658,-1.1763709320749016,12.552945494362918,22.0,8.0,14.0,36.36363636363637,1635.0600000000002,2438.6299999999997,-803.5699999999995,222.81,0.0
23,-10.0,False,53,20,76.0,34.0,8,8,3.6,16,30,1.8,1.4,0.027,0.65,2.0,7.827434326799812,1.0339169827149879,0.3418042047319853,18.69936766759949,211.0,97.0,114.0,45.97156398104266,23859.33,23076.640000000003,782.6899999999987,2665.25,0.0,-13.302333076899941,0.8833252637524954,-0.6206516270378972,26.044515890830432,114.0,50.0,64.0,43.85964912280702,10070.65,11400.84,-1330.1900000000005,1298.22,0.0
24,-10.0,False,82,17,68.0,31.0,13,6,2.5,19,39,1.1,2.0,0.025,0.45,1.5,-30.460496533150206,0.791710145720362,-1.1477706134495478,30.62939589558879,231.0,74.0,157.0,32.03463203463203,11577.890000000001,14623.899999999998,-3046.0099999999966,1273.19,0.0,-5.0156572093000795,0.9339428833303921,-0.2911064165499809,22.260446741680802,117.0,43.0,74.0,36.75213675213675,7091.969999999999,7593.580000000001,-501.6100000000015,727.56,0.0
25,-10.0,False,33,19,75.0,27.0,15,8,1.5,14,17,1.5,2.3,0.03,0.75,3.5,-22.420799142000085,0.6424499220983841,-1.012944525457636,23.34454828100217,38.0,12.0,26.0,31.57894736842105,4028.6300000000006,6270.7300000000005,-2242.1,783.52,0.0,-9.462798110849926,0.6502034947120946,-0.8339811929924316,12.59160427465822,15.0,4.0,11.0,26.666666666666668,1758.9499999999998,2705.23,-946.2800000000002,352.99,0.0
26,-10.0,False,70,21,72.0,35.0,10,10,1.0,4,45,1.9000000000000001,1.8,0.023000000000000003,0.3,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
27,-10.0,False,137,14,77.0,38.0,16,5,3.2,11,33,1.6,1.2,0.023000000000000003,0.6000000000000001,2.0,-15.138068684450372,0.9115491002408472,-0.43103906881515996,27.59080206981583,213.0,104.0,109.0,48.82629107981221,15600.78,17114.58,-1513.800000000001,2165.82,0.0,-0.6899100468500001,0.9916711542780418,0.06628742391964718,21.04673425105203,103.0,49.0,54.0,47.57281553398058,8213.079999999998,8282.06,-68.98000000000138,1106.78,0.0
