trial,score,enabled,length,std,min_bandwidth_pct,expansion_lookback,expansion_min_ratio,min_mid_distance,va_trades_ratio,tr_on_return_pct,tr_on_pf,tr_on_sharpe,tr_on_max_dd,tr_on_trades,tr_on_wins,tr_on_losses,tr_on_win_rate,tr_on_gross_profit,tr_on_gross_loss,tr_on_net_pnl,tr_on_fees,tr_on_blocked,va_on_return_pct,va_on_pf,va_on_sharpe,va_on_max_dd,va_on_trades,va_on_wins,va_on_losses,va_on_win_rate,va_on_gross_profit,va_on_gross_loss,va_on_net_pnl,va_on_fees,va_on_blocked
113,0.24362970970969589,True,14,2.3,1.3,3,0.5,0.11,0.5901639344262295,23.21522520994993,1.2242682965706522,0.763611198018106,19.006777544112367,67.0,25.0,42.0,37.3134328358209,12673.050000000001,10351.529999999999,2321.5200000000023,787.1,168.0,44.30862510180008,1.906985884125373,2.616568334088637,13.70166162248983,36.0,17.0,19.0,47.22222222222222,9316.16,4885.279999999999,4430.880000000001,498.85,81.0
119,0.2235906307787189,True,14,2.4,1.5,2,0.65,0.12,0.5737704918032787,22.57976670424996,1.236994431995298,0.7567505229058091,19.09591346815862,59.0,22.0,37.0,37.28813559322034,11785.650000000001,9527.650000000001,2258.0,696.24,199.0,40.34602939565002,1.8777839904098235,2.447100062481589,12.79133713452171,35.0,16.0,19.0,45.714285714285715,8630.99,4596.37,4034.62,469.46,95.0
106,0.22326745932610148,True,12,2.3,1.0,3,0.35000000000000003,0.16,0.6557377049180327,45.423727393499995,1.3687793440570648,1.2551368371024627,18.12742720794037,83.0,34.0,49.0,40.963855421686745,16859.57,12317.23,4542.34,1065.34,125.0,42.586774937300035,1.837902234114765,2.520125521327783,11.290660729829085,40.0,18.0,22.0,45.0,9341.23,5082.55,4258.679999999999,537.22,63.0
121,0.22273404198253388,True,14,2.4,1.5,2,0.55,0.14,0.5737704918032787,20.811698942399946,1.2301417216258177,0.7190233819953407,19.096414749478956,57.0,21.0,36.0,36.8421052631579,11124.270000000002,9043.080000000002,2081.1900000000005,654.34,203.0,40.34602939565002,1.8777839904098235,2.447100062481589,12.79133713452171,35.0,16.0,19.0,45.714285714285715,8630.99,4596.37,4034.62,469.46,95.0
100,0.2217234406549792,True,11,2.0,0.9,7,0.15000000000000002,0.16,0.6557377049180327,41.97806741265001,1.3564271946880866,1.1874837208599551,18.126797900271686,79.0,32.0,47.0,40.50632911392405,15975.05,11777.299999999997,4197.750000000002,986.57,131.0,42.586774937300035,1.837902234114765,2.520125521327783,11.290660729829085,40.0,18.0,22.0,45.0,9341.23,5082.55,4258.679999999999,537.22,63.0
108,0.21715011536077988,True,11,2.2,1.1,2,0.5,0.13,0.6557377049180327,39.64527523114995,1.3455184362722372,1.1452669526081416,18.126582106586778,75.0,30.0,45.0,40.0,15438.640000000001,11474.119999999999,3964.5200000000023,937.27,145.0,43.07850985470002,1.8360221783623174,2.532666754899539,11.454265503423471,40.0,18.0,22.0,45.0,9460.599999999999,5152.77,4307.829999999998,540.66,73.0
7,0.2129313882443526,True,11,2.9000000000000004,1.5,14,0.5,0.23,0.5409836065573771,38.14807704525003,1.3783178841704509,1.1754999309516518,12.208923301409142,66.0,27.0,39.0,40.90909090909091,13898.42,10083.61,3814.8099999999995,826.3,193.0,35.68689211825002,1.8371287825475011,2.344346160866372,9.965390235233656,33.0,15.0,18.0,45.45454545454545,7831.679999999999,4263.000000000001,3568.6799999999985,430.71,91.0
110,0.2127963311392799,True,12,2.3,1.3,2,0.5,0.12,0.5737704918032787,26.402346519649967,1.2482483291900002,0.8382428472355221,16.457306932143993,68.0,26.0,42.0,38.23529411764706,13275.82,10635.560000000001,2640.2599999999984,813.65,174.0,41.74886641290004,1.8704384393901166,2.5119936436267314,13.70199483753232,35.0,16.0,19.0,45.714285714285715,8971.24,4796.330000000001,4174.909999999999,477.83,89.0
84,0.2107471535586455,True,18,2.0,1.0,2,0.15000000000000002,0.18,0.5737704918032787,21.717152625099917,1.2023761043927828,0.7338154424244286,21.242183540973677,71.0,27.0,44.0,38.028169014084504,12902.709999999997,10731.010000000002,2171.6999999999953,835.9,157.0,40.72671296415009,1.8607075153695132,2.4630207311525534,11.453413543245901,35.0,16.0,19.0,45.714285714285715,8804.44,4731.7699999999995,4072.670000000001,474.4,81.0
118,0.20595922523838944,True,12,2.2,1.3,9,0.4,0.18,0.5081967213114754,36.07231052145009,1.370350825498939,1.0948669458638103,15.685683338106188,59.0,24.0,35.0,40.67796610169491,13347.45,9740.17,3607.2800000000007,744.64,194.0,36.78113968080004,1.8654909112300724,2.367868339745937,12.250613383558687,31.0,14.0,17.0,45.16129032258065,7927.87,4249.75,3678.12,410.96,95.0
132,0.195742871768605,True,11,2.3,1.2000000000000002,3,0.55,0.14,0.6065573770491803,43.54591084615006,1.3833468171810337,1.231095470355397,16.935552460439027,73.0,30.0,43.0,41.0958904109589,15713.810000000001,11359.27,4354.540000000001,928.09,157.0,37.17369367580004,1.7827558179689542,2.303845877067341,9.965228365131258,37.0,16.0,21.0,43.24324324324324,8466.45,4749.08,3717.370000000001,479.96,81.0
