trial,score,ema_period,rsi_period,rsi_overbought,rsi_oversold,atr_period,consolidation_candles,consolidation_atr_mult,swing_lookback,volume_sma_period,volume_mult,risk_reward_ratio,risk_per_trade_pct,max_position_allocation_pct,leverage,tr_return_pct,tr_net_pnl,tr_gross_profit,tr_gross_loss,tr_pf,tr_sharpe,tr_max_dd,tr_trades,tr_wins,tr_losses,tr_win_rate,tr_fees,tr_blocked,va_return_pct,va_net_pnl,va_gross_profit,va_gross_loss,va_pf,va_sharpe,va_max_dd,va_trades,va_wins,va_losses,va_win_rate,va_fees,va_blocked
204,0.6486040360412946,106,16,63.0,32.0,14,16,3.7,18,23,1.6,2.2,0.028,0.6000000000000001,2.5,65.89379107749951,6589.379107749952,27232.999999999996,20643.64,1.3191956457291445,1.4882916582496597,23.356706997812495,146.0,57.0,89.0,39.04109589041096,2599.14,0.0,27.00445033780015,2700.4450337800154,10089.03,7388.5599999999995,1.3654934114360582,1.6302719825185699,13.705212050283908,61.0,25.0,36.0,40.98360655737705,989.25,0.0
195,0.6355668156419316,111,16,62.0,30.0,13,16,3.6,18,18,1.7000000000000002,2.4000000000000004,0.027,0.6000000000000001,2.5,62.148993355899506,6214.899335589951,26043.209999999995,19828.370000000006,1.3134317142558862,1.4763381363999326,25.849050835320135,125.0,46.0,79.0,36.8,2467.44,0.0,31.787927968349937,3178.792796834994,9284.16,6105.34,1.5206622399407732,2.027003849506252,9.108090193655297,50.0,21.0,29.0,42.0,840.2,0.0
275,0.6312562941598462,111,16,62.0,32.0,13,16,3.6,16,26,1.6,2.0,0.03,0.6000000000000001,2.5,71.75018229489982,7175.018229489982,26193.59,19018.559999999998,1.3772646299194051,1.6425898436579285,19.91122686127232,136.0,57.0,79.0,41.911764705882355,2667.45,0.0,18.252616036850032,1825.2616036850031,7814.51,5989.240000000001,1.304758199704804,1.2543535434408901,12.529979479361087,53.0,22.0,31.0,41.509433962264154,849.9,0.0
240,0.6304803385925706,107,16,62.0,30.0,14,16,3.6,19,25,1.6,2.2,0.03,0.6000000000000001,2.5,60.40688040084958,6040.688040084959,26323.05,20282.37,1.2978290998537154,1.4390724385630371,19.05375024583277,134.0,51.0,83.0,38.059701492537314,2590.2,0.0,35.29854795770003,3529.854795770003,9611.879999999997,6082.010000000001,1.5803788550166795,2.119971302963109,11.640817938770862,53.0,23.0,30.0,43.39622641509434,927.6,0.0
242,0.6304803385925706,107,16,62.0,30.0,14,16,3.6,19,25,1.6,2.2,0.03,0.6000000000000001,2.5,60.40688040084958,6040.688040084959,26323.05,20282.37,1.2978290998537154,1.4390724385630371,19.05375024583277,134.0,51.0,83.0,38.059701492537314,2590.2,0.0,35.29854795770003,3529.854795770003,9611.879999999997,6082.010000000001,1.5803788550166795,2.119971302963109,11.640817938770862,53.0,23.0,30.0,43.39622641509434,927.6,0.0
163,0.6220733222469463,110,15,63.0,29.0,12,14,3.7,19,19,1.9000000000000001,2.6,0.022000000000000002,0.7,2.0,61.11950106799961,6111.950106799961,22315.35,16203.43,1.3771991485753323,1.6108914108473191,26.162157723393104,115.0,42.0,73.0,36.52173913043478,1954.81,0.0,25.324109790349958,2532.4109790349958,8202.779999999999,5670.360000000001,1.4466065646625608,1.6525158618227578,14.784195944981915,48.0,19.0,29.0,39.583333333333336,721.45,0.0
252,0.6082364017980398,104,16,62.0,31.0,14,16,3.6,19,26,1.6,2.2,0.03,0.6000000000000001,2.5,58.48986130419955,5848.986130419955,25859.12,20010.17,1.2922988660266255,1.3952363264676084,21.25855134592804,133.0,51.0,82.0,38.34586466165413,2516.91,0.0,33.2718899142,3327.18899142,9511.100000000002,6183.909999999999,1.5380398485747697,2.0107033765345776,11.64090734426162,54.0,23.0,31.0,42.592592592592595,939.38,0.0
237,0.6074347143165898,105,16,62.0,30.0,13,16,3.6,17,27,1.5,2.2,0.029,0.55,2.5,62.80410042099977,6280.410042099977,28109.39,21828.99,1.2877091427500766,1.491365727984677,19.871033549997687,154.0,61.0,93.0,39.61038961038961,2771.59,0.0,21.488936898449992,2148.8936898449992,8448.909999999998,6300.05,1.3410861818556992,1.4795095546830321,10.865263114734503,59.0,23.0,36.0,38.983050847457626,893.25,0.0
220,0.6059801689641529,101,16,61.0,30.0,13,16,3.8000000000000003,19,27,1.6,1.9,0.03,0.6000000000000001,2.5,71.13032081044975,7113.032081044974,24946.34,17833.34,1.3988596639776958,1.6278230871692516,23.031312084741753,142.0,61.0,81.0,42.95774647887324,2487.54,0.0,16.81199417285001,1681.199417285001,7388.1900000000005,5706.98,1.2945883812454224,1.166589823435538,14.396815961360469,54.0,25.0,29.0,46.2962962962963,833.99,0.0
217,0.5993597895359533,105,16,62.0,30.0,13,16,3.8000000000000003,19,27,1.7000000000000002,2.2,0.029,0.6000000000000001,2.5,58.36262004434965,5836.262004434964,24745.1,18908.82,1.3086538451368197,1.3779556481594684,23.459103951679413,135.0,53.0,82.0,39.25925925925926,2333.23,0.0,30.352760767950134,3035.276076795013,9675.9,6640.58,1.4570865797867054,1.8193594039576517,11.820866214777274,57.0,25.0,32.0,43.85964912280702,955.79,0.0
