stage,trial,score,gated,ema_period,rsi_period,rsi_overbought,rsi_oversold,atr_period,consolidation_candles,consolidation_atr_mult,swing_lookback,volume_sma_period,volume_mult,risk_reward_ratio,leverage,risk_per_trade_pct,max_position_allocation_pct,tr_return_pct,tr_pf,tr_sharpe,tr_max_dd,tr_trades,tr_wins,tr_losses,tr_win_rate,tr_gross_profit,tr_gross_loss,tr_net_pnl,tr_fees,tr_blocked,tr_head_dropped,va_return_pct,va_pf,va_sharpe,va_max_dd,va_trades,va_wins,va_losses,va_win_rate,va_gross_profit,va_gross_loss,va_net_pnl,va_fees,va_blocked,va_head_dropped,c_va_ret,c_va_pf,c_va_dd,c_va_sample,c_tr_ret,c_tr_pf,c_consistency,c_gate_shortfall
1b_narrow,0,0.17357747958246686,True,79,14,76.0,38.0,19,15,3.2,20,45,1.7000000000000002,2.9,1.0,0.015,0.5,4.888925862749838,1.0736341863862988,0.33423425172553156,14.858764556696908,117,33,84,28.205128205128204,7127.749999999999,6638.9,488.84999999999945,598.6899999999999,0,0,15.15203147780001,1.6330859802618938,1.8875729253466766,6.2549895384303795,48,18,30,37.5,3908.53,2393.3399999999997,1515.1900000000005,260.34,0,0,0.04545609443340003,0.15827149506547344,-0.0,0.0380952380952381,0.004888925862749839,0.003681709319314941,-0.07681598319370948,
1b_narrow,1,0.13229417832711993,True,92,14,74.0,31.0,19,16,3.4000000000000004,18,40,1.6,3.0,1.0,0.015,0.5,12.316406633149928,1.1820406896398827,0.7530185935225583,12.478294528884382,118,38,80,32.20338983050848,7997.510000000001,6765.85,1231.6600000000008,638.42,0,1,8.0635144086501,1.3036951109738506,1.0298463202344768,7.894492759697839,53,16,37,30.18867924528302,3461.48,2655.13,806.3499999999999,270.4,0,0,0.024190543225950302,0.07592377774346265,-0.0,0.04206349206349207,0.012316406633149929,0.009102034481994137,-0.031302075820929164,
1b_narrow,2,0.29592389049163326,True,78,12,75.0,42.0,19,17,3.4000000000000004,16,45,1.4000000000000001,2.9,1.0,0.015,0.5,6.4401546491498625,1.0823717055027025,0.42359079199364963,14.991092840402608,145,44,101,30.344827586206897,8462.35,7818.340000000001,644.0099999999993,769.78,0,0,28.020697501300003,2.244242946332626,3.106792623263341,6.289048987390383,57,25,32,43.85964912280702,5054.08,2252.02,2802.06,319.13,0,0,0.0840620925039,0.25,-0.0,0.045238095238095244,0.006440154649149862,0.004118585275135123,-0.09393503717464695,
1b_narrow,3,0.3161696967864986,True,91,14,77.0,33.0,19,18,3.4000000000000004,16,43,1.3,3.9,1.0,0.015,0.5,12.764933262799913,1.1734203940557415,0.703155768821659,13.01217785570436,125,32,93,25.6,8636.82,7360.380000000001,1276.4399999999987,691.19,0,1,21.918457578549933,1.9155333155115952,2.1537911822472036,8.183709568875791,50,17,33,34.0,4585.94,2394.08,2191.8599999999997,270.24,0,0,0.0657553727356498,0.2288833288778988,-0.0,0.03968253968253968,0.012764933262799913,0.008671019702787075,-0.039587497475176675,
1b_narrow,4,0.1522699123379848,True,77,13,74.0,37.0,20,15,3.6,19,50,1.8,3.6,1.0,0.015,0.5,19.622789200449915,1.2607858381675738,0.9961141640800406,14.801643915636898,113,32,81,28.31858407079646,9486.720000000001,7524.450000000001,1962.2700000000004,629.54,0,0,10.994219705449995,1.3441657640510642,1.203784739348385,8.225245634884413,54,14,40,25.925925925925927,4293.830000000001,3194.42,1099.4100000000008,280.88,0,0,0.03298265911634998,0.08604144101276606,-0.0,0.04285714285714286,0.01962278920044992,0.013039291908378693,-0.042273411757102725,
1b_narrow,5,0.2953981483164533,True,91,11,73.0,28.0,19,16,3.3000000000000003,20,41,1.4000000000000001,3.5,1.0,0.015,0.5,15.333991857299841,1.2104527063008856,0.8201513476413574,13.819571370731234,122,36,86,29.508196721311474,8819.310000000001,7285.96,1533.3500000000013,669.2,0,1,15.690418481249981,1.7380440560131332,1.7737194781906416,7.043453833053468,50,18,32,36.0,3694.96,2125.93,1569.0300000000002,267.76,0,0,0.047071255443749946,0.1845110140032833,-0.0,0.03968253968253968,0.015333991857299842,0.010522635315044283,-0.0017232879854637757,
1b_narrow,6,0.09864917214071012,True,74,14,73.0,45.0,21,15,3.2,20,46,1.7000000000000002,3.8,1.0,0.015,0.5,0.18885033439995821,1.0029066285872221,0.07661930242851413,15.454401789389257,111,25,86,22.52252252252252,6531.629999999999,6512.699999999998,18.9300000000012,548.16,0,0,15.378708737400029,1.6576502989300097,1.6478551946551099,6.892986329037126,43,13,30,30.232558139534884,3876.1499999999996,2338.3400000000006,1537.809999999999,230.54,0,0,0.04613612621220008,0.16441257473250243,-0.0,0.03412698412698413,0.00018885033439995823,0.00014533142936110633,-0.1463606946947376,
1b_narrow,7,-1.0199634017105081,False,73,12,73.0,43.0,20,16,3.2,17,40,1.7000000000000002,3.6,1.0,0.015,0.5,-7.216136264400121,0.8763201102362747,-0.39253709430645334,13.257415264124786,111,26,85,23.423423423423422,5113.1,5834.739999999999,-721.6399999999985,523.77,0,0,9.529813458350016,1.4838617958416898,1.1942493285155995,6.70058061955446,40,11,29,27.5,2922.54,1969.55,952.99,209.72,0,0,,,,,,,,0.11978041026304888
1b_narrow,8,0.33324826860662793,True,90,12,73.0,40.0,21,17,3.5,18,43,1.5,2.9,1.0,0.015,0.5,15.333203642899898,1.206198099823161,0.8682207891858765,12.567207437843217,133,43,90,32.330827067669176,8969.47,7436.150000000001,1533.3199999999988,728.28,0,0,18.06941423474995,1.8944833321782524,2.2756421003764915,4.8182123551390355,53,21,32,39.62264150943396,3826.9700000000003,2020.06,1806.9100000000003,286.98,0,0,0.05420824270424985,0.2236208330445631,-0.0,0.04206349206349207,0.015333203642899898,0.010309904991158048,-0.012287407839735016,
1b_narrow,9,-1.004883672263359,False,74,11,76.0,33.0,20,20,3.3000000000000003,18,47,1.4000000000000001,2.9,1.0,0.015,0.5,-1.9097951947500407,0.9619316607634397,-0.08914464104483295,12.814169337439326,97,26,71,26.804123711340207,4826.04,5017.03,-190.98999999999978,485.58,0,0,7.939168381650051,1.4623843165576567,1.3868679470471168,9.002430122553632,44,16,28,36.36363636363637,2510.87,1716.97,793.8999999999999,228.77,0,0,,,,,,,,0.02930203358015348
1b_narrow,10,0.16978408410560145,True,85,12,77.0,38.0,21,20,3.6,18,37,1.5,3.2,1.0,0.015,0.5,3.334999484550008,1.0534180812227787,0.25241568633571243,12.605512612688916,119,33,86,27.73109243697479,6576.31,6242.830000000001,333.47999999999956,581.92,0,0,17.85947905474999,1.671023858726282,2.0030441549519726,6.2388635695949795,57,20,37,35.08771929824562,4447.43,2661.5000000000005,1785.9299999999998,308.34,0,0,0.053578437164249974,0.1677559646815705,-0.0,0.045238095238095244,0.003334999484550008,0.0026709040611389346,-0.10279431652400321,
1b_narrow,11,0.20909360692110102,True,87,13,77.0,34.0,21,18,3.5,16,43,1.3,4.0,1.0,0.015,0.5,1.7325937246498324,1.0217771743229993,0.1574833473356533,12.934458877417635,137,32,105,23.357664233576642,8127.42,7954.2,173.22000000000025,699.31,0,1,24.685824451949976,1.8692069885847484,2.3304586516825174,6.23792843390139,57,19,38,33.333333333333336,5308.66,2840.0599999999995,2468.6000000000004,314.05,0,0,0.07405747335584992,0.2173017471461871,-0.0,0.045238095238095244,0.0017325937246498325,0.0010888587161499653,-0.13032516125983104,
1b_narrow,12,0.22340092752528373,True,88,13,75.0,40.0,20,18,3.5,17,42,1.3,3.3,1.0,0.015,0.5,2.0862183487499535,1.0272273479638885,0.17776220744186852,13.868317333087207,143,39,104,27.272727272727273,7869.260000000001,7660.68,208.58000000000084,710.66,0,0,24.061144525599993,1.9016844984916332,2.57928490634108,5.70599403042101,61,23,38,37.704918032786885,5074.549999999999,2668.4500000000003,2406.099999999999,338.35,0,0,0.07218343357679997,0.2254211246229083,-0.0,0.048412698412698414,0.0020862183487499533,0.001361367398194424,-0.12606391483406734,
