trial,score,gated,ema_period,rsi_period,rsi_overbought,rsi_oversold,atr_period,consolidation_candles,consolidation_atr_mult,swing_lookback,volume_sma_period,volume_mult,risk_reward_ratio,leverage,risk_per_trade_pct,max_position_allocation_pct,tr_return_pct,tr_pf,tr_sharpe,tr_max_dd,tr_trades,tr_wins,tr_losses,tr_win_rate,tr_gross_profit,tr_gross_loss,tr_net_pnl,tr_fees,tr_blocked,tr_head_dropped,va_return_pct,va_pf,va_sharpe,va_max_dd,va_trades,va_wins,va_losses,va_win_rate,va_gross_profit,va_gross_loss,va_net_pnl,va_fees,va_blocked,va_head_dropped,c_va_ret,c_va_pf,c_va_dd,c_va_sample,c_tr_ret,c_tr_pf,c_consistency,c_gate_shortfall
179,-1.0072979302700003,False,75,15,70.0,42.0,21,18,3.5,5,36,1.3,3.0,1.0,0.019,0.65,-4.378758162000086,0.9598646327356323,-0.11755087271228733,22.45681064294467,185.0,49.0,136.0,26.486486486486488,10471.720000000001,10909.580000000002,-437.8600000000006,1213.31,0.0,0.0,26.80199109575,1.735108256216436,2.2662324091284454,8.179586977466375,73.0,29.0,44.0,39.726027397260275,6326.170000000001,3645.98,2680.190000000001,532.66,0.0,0.0,,,,,,,,0.043787581620000855
180,0.33516566111031604,True,73,14,70.0,42.0,21,19,3.5,4,37,1.4,2.8,1.5,0.015,0.65,18.943159080650002,1.151363527040017,0.7933968468185606,16.41724989816245,155.0,46.0,109.0,29.677419354838708,14409.279999999999,12514.969999999998,1894.3100000000013,1582.09,0.0,0.0,35.29948820119995,1.7633760296531453,2.654292264000944,6.774561340771703,72.0,30.0,42.0,41.666666666666664,8154.079999999999,4624.13,3529.949999999999,794.7,0.0,0.0,0.10589846460359983,0.19084400741328633,-0.0,0.05714285714285714,0.01894315908065,0.007568176352000855,-0.04523100348207815,
181,0.3648134794024042,True,74,15,71.0,41.0,20,18,3.4000000000000004,5,34,1.4,3.0,1.5,0.016,0.65,20.706866824149802,1.1509295885931787,0.8101136798507461,18.850281419907056,161.0,47.0,114.0,29.19254658385093,15790.189999999999,13719.509999999998,2070.6800000000003,1708.13,0.0,0.0,39.65151007200007,1.8365217868279042,2.7620770923754536,6.823005109026658,70.0,29.0,41.0,41.42857142857143,8705.150000000001,4740.0199999999995,3965.130000000002,793.52,0.0,0.0,0.11895453021600022,0.20913044670697606,-0.0,0.05555555555555556,0.020706866824149805,0.007546479429658937,-0.04708039932993635,
182,0.3823380335317216,True,72,15,71.0,41.0,19,18,3.5,5,34,1.4,3.0,1.5,0.016,0.65,17.69633343424981,1.1169529038640862,0.6696932334897654,18.85511058672233,175.0,51.0,124.0,29.142857142857142,16901.05,15131.390000000003,1769.6599999999962,1851.91,0.0,0.0,44.78043014790006,1.932518263071528,2.8214586195353712,7.920247147113728,71.0,31.0,40.0,43.66197183098591,9280.03,4802.04,4477.990000000001,797.08,0.0,0.0,0.1343412904437002,0.23312956576788202,-0.0,0.05634920634920635,0.017696333434249808,0.00584764519320431,-0.06502600765652113,
183,-2.0,False,78,15,71.0,41.0,19,18,1.0,5,33,1.3,3.0,1.5,0.017,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
184,0.36681726032741446,True,75,15,72.0,41.0,20,18,3.4000000000000004,5,34,1.4,2.9000000000000004,1.5,0.017,0.65,10.864941020949919,1.0794816705400925,0.4854059505152637,19.951736508296282,164.0,47.0,117.0,28.658536585365855,14756.590000000002,13670.07,1086.5200000000023,1694.85,0.0,0.0,47.16512723490008,1.995033786705991,3.095071154971294,6.50982447913112,70.0,31.0,39.0,44.285714285714285,9456.52,4740.030000000001,4716.49,821.4,0.0,0.0,0.14149538170470025,0.24875844667649777,-0.0,0.05555555555555556,0.01086494102094992,0.003974083527004624,-0.09383114815729364,
185,-1.0227992980275005,False,76,15,72.0,41.0,20,18,3.5,5,34,1.3,2.9000000000000004,4.0,0.017,0.65,-13.679578816500234,0.9409624099089378,-0.19808504388650813,33.39207887606486,191.0,53.0,138.0,27.74869109947644,21803.039999999997,23171.0,-1367.9600000000028,3257.06,0.0,0.0,63.65051532750003,1.6964304471131961,2.683458337679706,10.601069914416577,71.0,30.0,41.0,42.25352112676056,15504.56,9139.52,6365.039999999999,1663.53,0.0,0.0,,,,,,,,0.13679578816500235
186,0.3539565497401584,True,72,15,71.0,41.0,19,19,3.6,6,33,1.4,2.8,1.5,0.016,0.65,20.482507874849855,1.1258918517571508,0.7363356587348492,17.733515710688245,177.0,54.0,123.0,30.508474576271187,18317.719999999998,16269.519999999999,2048.199999999999,1879.24,0.0,0.0,39.33862805309998,1.7972078281328847,2.6436293495326324,6.056496923841659,72.0,31.0,41.0,43.05555555555556,8868.34,4934.509999999999,3933.830000000001,794.45,0.0,0.0,0.11801588415929995,0.19930195703322118,-0.0,0.05714285714285714,0.020482507874849856,0.0062945925878575395,-0.04728124905792729,
187,0.35493239535937854,True,81,15,72.0,40.0,19,19,3.6,6,32,1.4,3.0,1.5,0.016,0.65,32.11634571439994,1.2054583233641727,1.0367120555556728,21.96142368017374,162.0,50.0,112.0,30.864197530864196,18843.170000000002,15631.54,3211.630000000001,1767.72,0.0,0.0,32.735062994150034,1.650377687621939,2.1563325538760774,8.713428180615624,67.0,26.0,41.0,38.80597014925373,8306.78,5033.26,3273.5200000000004,722.58,0.0,0.0,0.09820518898245009,0.16259442190548473,-0.0,0.05317460317460318,0.03211634571439994,0.010272916168208635,-0.0014310805857680364,
188,0.20689052569963048,True,81,14,72.0,40.0,20,19,3.4000000000000004,6,31,1.4,3.0,1.5,0.015,0.65,10.068503071999857,1.0819992295494656,0.4625216975198087,25.861395371243873,145.0,42.0,103.0,28.96551724137931,13285.36,12278.53,1006.8299999999999,1432.87,0.0,0.0,23.964481971549993,1.5314745489061978,1.8634133958573376,9.384052016877064,62.0,23.0,39.0,37.096774193548384,6905.4800000000005,4509.039999999999,2396.4400000000014,664.15,0.0,0.0,0.07189344591464998,0.13286863722654946,-0.0,0.049206349206349205,0.010068503071999857,0.00409996147747328,-0.061246371197391306,
