trial,score,enabled,length,std,min_bandwidth_pct,expansion_lookback,expansion_min_ratio,min_mid_distance,tr_on_return_pct,tr_on_pf,tr_on_sharpe,tr_on_max_dd,tr_on_trades,tr_on_wins,tr_on_losses,tr_on_win_rate,tr_on_gross_profit,tr_on_gross_loss,tr_on_net_pnl,tr_on_fees,tr_on_blocked,tr_on_head_dropped,va_on_return_pct,va_on_pf,va_on_sharpe,va_on_max_dd,va_on_trades,va_on_wins,va_on_losses,va_on_win_rate,va_on_gross_profit,va_on_gross_loss,va_on_net_pnl,va_on_fees,va_on_blocked,va_on_head_dropped,c_gate_shortfall,c_valid_trade_ratio,c_reason,c_va_pf,c_va_netpnl,c_va_dd,c_tr_pf,c_tr_netpnl,c_tr_dd
42,0.2510975523397246,True,30,2.4,0.30000000000000004,11,0.5,0.06,134.9321622192997,1.5197714323574834,1.8428483429198441,21.07557588978712,100.0,32.0,68.0,32.0,39453.16,25959.93,13493.230000000003,2691.68,57.0,0.0,105.23929932394995,2.420160072546789,3.281769042552457,12.751933245354966,42.0,16.0,26.0,38.095238095238095,17934.33,7410.39,10523.940000000002,903.64,23.0,0.0,,0.8235294117647058,,0.11778883878161076,0.03401926600608396,0.008971212255956153,0.030363744135704987,0.041008246259078666,0.01894624490129007
103,0.21116910440922404,True,13,2.5,0.1,16,0.45,0.13,158.44066413669958,1.5979195866344535,2.0453937092538266,23.38870718576376,99.0,32.0,67.0,32.323232323232325,42342.6,26498.58,15844.019999999997,2720.2599999999998,66.0,0.0,98.36533552145004,2.1915847263291655,3.1188189000719566,12.050886627083111,49.0,18.0,31.0,36.734693877551024,18091.51,8254.99,9836.519999999999,1027.83,11.0,0.0,,0.9607843137254902,,0.04635904308860336,0.018733211178908676,0.016724370371252503,0.0450165230626369,0.07428569541123706,0.010050261296585554
105,0.20772315052657264,True,12,2.4,0.30000000000000004,17,0.5,0.13,165.49721565759964,1.6192144561147246,2.1032339850640223,23.388362519320694,98.0,32.0,66.0,32.6530612244898,43276.68,26726.96,16549.72,2764.84,69.0,0.0,95.54143466305001,2.163809159533557,3.059230490043681,12.274293798817373,48.0,17.0,31.0,35.416666666666664,17763.51,8209.37,9554.139999999998,999.68,19.0,0.0,,0.9411764705882353,,0.03767917846497576,0.012453969722306092,0.014253620093879057,0.04900931109018772,0.08427548431908438,0.01005158683613964
149,0.18754585353674677,True,12,2.5,0.1,17,0.5,0.1,151.66383771284964,1.5613751310311337,1.98424985336611,23.388626788492456,101.0,32.0,69.0,31.683168316831683,42182.86,27016.48,15166.380000000001,2775.6,60.0,0.0,97.86182245885003,2.1800857855698395,3.109011813731425,12.273871249688211,49.0,18.0,31.0,36.734693877551024,18078.949999999997,8292.77,9786.179999999997,1026.97,13.0,0.0,,0.9607843137254902,,0.04276562410131399,0.017613808193834006,0.01425829323561384,0.03816443763701442,0.06469311987557946,0.010050570493391042
24,0.18725709496591933,True,30,2.4,0.0,12,0.35000000000000003,0.05,138.11479483784976,1.5045637654014525,1.8458518855631907,21.56004331526432,105.0,33.0,72.0,31.428571428571427,41184.770000000004,27373.23,13811.540000000005,2830.45,37.0,0.0,100.03293651985008,2.253579354845177,3.1472684442812624,12.751744148352188,46.0,17.0,29.0,36.95652173913044,17983.089999999997,7979.790000000001,10003.299999999996,986.56,12.0,0.0,,0.9019607843137255,,0.06573236449985698,0.022441872876380723,0.008973303556197043,0.02751230658144921,0.04551419738173259,0.017083050070302797
145,0.16883079047201793,True,11,2.4,0.0,18,0.4,0.11,139.85300986594956,1.512441763109827,1.894956466206174,23.388673523160367,105.0,32.0,73.0,30.476190476190474,41276.880000000005,27291.550000000003,13985.330000000002,2840.47,43.0,0.0,98.36533552145004,2.1915847263291655,3.1188189000719566,12.050886627083111,49.0,18.0,31.0,36.734693877551024,18091.51,8254.99,9836.519999999999,1027.83,8.0,0.0,,0.9607843137254902,,0.04635904308860336,0.018733211178908676,0.016724370371252503,0.028989431151769426,0.04797434392317335,0.010050390758310618
127,0.16247501250911017,True,15,2.6,0.30000000000000004,19,0.5,0.11,147.4438586846996,1.5557071920551018,1.9515031795619329,23.030757714811617,98.0,31.0,67.0,31.632653061224488,41277.189999999995,26532.749999999996,14744.439999999999,2687.75,83.0,0.0,93.64632524119999,2.1648721265797595,3.0347219393279836,12.751609904977594,46.0,16.0,30.0,34.78260869565217,17403.840000000004,8039.200000000001,9364.640000000003,961.72,25.0,0.0,,0.9019607843137255,,0.03801135566691399,0.008240086812658979,0.008974788207976302,0.03710169907900844,0.05872019720053753,0.01142688554201493
85,0.15030071142485021,True,12,2.4,0.0,18,0.45,0.1,129.07228263769966,1.4876611404131845,1.7970669059937991,23.030402822533055,103.0,31.0,72.0,30.097087378640776,39374.82000000001,26467.600000000002,12907.220000000005,2676.82,50.0,0.0,98.36533552145004,2.1915847263291655,3.1188189000719566,12.050886627083111,49.0,18.0,31.0,36.734693877551024,18091.51,8254.99,9836.519999999999,1027.83,10.0,0.0,,0.9607843137254902,,0.04635904308860336,0.018733211178908676,0.016724370371252503,0.02434306439614896,0.03271277198121619,0.011428250408720517
90,0.15029164132940667,True,11,2.5,0.1,20,0.45,0.11,143.04349636654976,1.5446185511744592,1.9287322267709328,23.44890005336877,101.0,31.0,70.0,30.693069306930692,40569.19,26264.859999999997,14304.330000000005,2708.56,55.0,0.0,94.25015388405001,2.153330698322689,3.0352937566431772,12.751807536459564,48.0,17.0,31.0,35.416666666666664,17597.039999999997,8172.009999999999,9425.029999999999,995.7,13.0,0.0,,0.9411764705882353,,0.03440465933657946,0.009582970131464143,0.00897260252147794,0.035022578913887964,0.0524900625877664,0.009818767838230767
92,0.1496929948289425,True,10,2.4,0.0,18,0.5,0.11,132.1084082043498,1.4833823393813967,1.8301593830032683,24.097305359254364,106.0,32.0,74.0,30.18867924528302,40540.78,27329.96,13210.82,2800.0,49.0,0.0,98.36533552145004,2.1915847263291655,3.1188189000719566,12.050886627083111,49.0,18.0,31.0,36.734693877551024,18091.51,8254.99,9836.519999999999,1027.83,11.0,0.0,,0.9607843137254902,,0.04635904308860336,0.018733211178908676,0.016724370371252503,0.023540789202688747,0.03701049043441496,0.007325090553074229
