stage,trial,score,gated,ema_period,rsi_period,rsi_overbought,rsi_oversold,atr_period,consolidation_candles,consolidation_atr_mult,swing_lookback,volume_sma_period,volume_mult,risk_reward_ratio,leverage,risk_per_trade_pct,max_position_allocation_pct,tr_return_pct,tr_pf,tr_sharpe,tr_max_dd,tr_trades,tr_wins,tr_losses,tr_win_rate,tr_gross_profit,tr_gross_loss,tr_net_pnl,tr_fees,tr_blocked,tr_head_dropped,va_return_pct,va_pf,va_sharpe,va_max_dd,va_trades,va_wins,va_losses,va_win_rate,va_gross_profit,va_gross_loss,va_net_pnl,va_fees,va_blocked,va_head_dropped,c_gate_shortfall,c_va_ret,c_va_pf,c_va_dd,c_va_sample,c_tr_ret,c_tr_pf,c_consistency
1b_narrow,0,-1.000215362569417,False,89,21,61.0,42.0,14,13,3.1,12,32,1.7000000000000002,2.1,1.0,0.015,0.5,-0.12921754165014138,0.997685027085902,0.039626911910790395,17.515139750628133,128,47,81,36.71875,5550.9,5563.78,-12.88000000000011,624.74,0,1,14.168652885350074,1.69118120530357,2.389575296009773,4.477693764101966,60,26,34,43.333333333333336,3466.82,2049.94,1416.88,323.14,0,0,0.0012921754165014137,,,,,,,
1b_narrow,1,0.0927412102962219,True,101,21,58.0,38.0,14,14,3.4000000000000004,9,29,1.6,2.2,1.0,0.015,0.5,19.412507929749953,1.4112969691833428,1.5320247296743252,7.697554345112531,124,51,73,41.12903225806452,6661.11,4719.849999999999,1941.2600000000002,666.46,0,2,5.3802775964499965,1.287789718051447,1.1808432335919605,4.05825668722727,58,23,35,39.6551724137931,2407.5099999999998,1869.49,538.0199999999998,298.54,0,0,,0.01614083278934999,0.07194742951286176,-0.0,0.04957264957264958,0.019412507929749953,0.020564848459167142,-0.08489705796755652
1b_narrow,2,0.11794135371251713,True,87,20,59.0,44.0,14,16,3.4000000000000004,7,32,1.4000000000000001,2.1,1.0,0.015,0.5,2.4660466556998655,1.0433930290301634,0.2484601198713811,13.039647935707531,145,52,93,35.86206896551724,5929.3,5682.71,246.59000000000015,749.29,0,0,8.58425848360006,1.480703542350293,1.8199754234650287,4.662491914410835,59,26,33,44.067796610169495,2644.27,1785.82,858.45,307.72,0,0,,0.02575277545080018,0.12017588558757325,-0.0,0.05042735042735043,0.0024660466556998654,0.00216965145150817,-0.08305035586041477
1b_narrow,3,0.23499722522620653,True,100,21,61.0,39.0,13,17,3.3000000000000003,7,31,1.3,2.8,1.0,0.015,0.5,7.9015694474498925,1.1335911030560424,0.5637772123131537,11.173004922331394,133,41,92,30.827067669172934,6705.01,5914.839999999999,790.170000000001,691.82,0,1,14.109284654250004,1.6832802254743386,2.027072668669264,4.802808620628048,58,24,34,41.37931034482759,3475.94,2064.98,1410.96,311.4,0,0,,0.04232785396275001,0.17082005636858466,-0.0,0.04957264957264958,0.007901569447449892,0.006679555152802119,-0.04230445927802972
1b_narrow,4,0.07942525089780296,True,87,20,58.0,41.0,17,14,3.6,11,36,1.8,2.5,1.0,0.015,0.5,6.151514820549873,1.1279836709556068,0.5465622039815131,9.198734929549026,98,38,60,38.775510204081634,5421.269999999999,4806.16,615.1099999999988,523.75,0,2,3.6868701830000647,1.199204672548776,0.8413783531770103,4.674619369540746,51,19,32,37.254901960784316,2219.5,1850.81,368.69000000000005,255.84,0,1,,0.011060610549000194,0.049801168137193985,-0.0,0.043589743589743594,0.006151514820549873,0.006399183547780341,-0.037576969746465023
1b_narrow,5,0.1537704535995013,True,100,19,58.0,37.0,15,15,3.2,11,29,1.4000000000000001,2.5,1.0,0.015,0.5,7.316641472199917,1.1851461946866824,0.6662155984928688,6.834123289986889,106,35,71,33.0188679245283,4683.2,3951.58,731.6199999999999,563.94,0,1,5.771323242149956,1.3931081927907802,1.358201745142704,5.322867549455884,46,18,28,39.130434782608695,2045.25,1468.12,577.1300000000001,232.08,0,0,,0.017313969726449868,0.09827704819769506,-0.0,0.039316239316239315,0.007316641472199917,0.009257309734334118,-0.017710754847416965
1b_narrow,6,-1.0326086956521738,False,84,21,57.0,45.0,19,14,3.1,11,33,1.7000000000000002,2.7,1.0,0.015,0.5,4.9005040217999705,1.1562432249754506,0.5363248575018322,6.199979076009783,74,25,49,33.78378378378378,3626.5800000000004,3136.52,490.0600000000004,390.55,0,0,6.838827641450025,1.5425704085680285,1.5292306284561394,3.921145136707686,41,17,24,41.46341463414634,1944.4099999999999,1260.5,683.9099999999999,210.13,0,0,0.19565217391304346,,,,,,,
1b_narrow,7,-1.0405053883314752,False,83,20,57.0,44.0,17,14,3.1,8,29,1.7000000000000002,2.6,1.0,0.015,0.5,1.7152640563500063,1.0603428563387618,0.24541641571728132,6.496576969968052,72,25,47,34.72222222222222,3014.1200000000003,2842.5899999999992,171.5300000000011,374.02,0,0,5.124801265099995,1.416998250539078,1.3212204269772605,4.765161034762108,38,15,23,39.473684210526315,1741.4199999999998,1228.95,512.4699999999998,192.07,0,0,0.24303232998885171,,,,,,,
1b_narrow,8,0.15793644238273735,True,99,20,57.0,43.0,19,16,3.5,9,31,1.5,2.1,1.0,0.015,0.5,3.9283854384499133,1.1187913719537086,0.49752578908008077,4.280984807917369,97,37,60,38.144329896907216,3699.72,3306.8900000000003,392.8299999999995,506.82,0,1,7.292603360550019,1.5068737837086468,1.7680082309046585,3.999641502351029,52,23,29,44.23076923076923,2168.0900000000006,1438.7999999999997,729.2900000000009,268.83,0,0,,0.021877810081650056,0.1267184459271617,-0.0,0.044444444444444446,0.003928385438449914,0.00593956859768543,-0.04497221210665419
1b_narrow,9,0.17958174943840907,True,84,19,60.0,39.0,17,18,3.2,9,34,1.4000000000000001,2.1,1.0,0.015,0.5,4.072735313899975,1.1122537858950259,0.4489686761658514,12.629395154334,97,35,62,36.08247422680412,4035.19,3627.94,407.25,496.63,0,1,9.609728289800024,1.6224600177482982,2.1026469362676314,4.675722994277198,54,24,30,44.44444444444444,2504.77,1543.81,960.96,282.87,0,1,,0.028829184869400074,0.15561500443707454,-0.0,0.046153846153846156,0.0040727353138999755,0.005612689294751294,-0.06070171063056298
