stage,trial,score,gated,ema_period,rsi_period,rsi_overbought,rsi_oversold,atr_period,consolidation_candles,consolidation_atr_mult,swing_lookback,volume_sma_period,volume_mult,risk_reward_ratio,leverage,risk_per_trade_pct,max_position_allocation_pct,tr_return_pct,tr_pf,tr_sharpe,tr_max_dd,tr_trades,tr_wins,tr_losses,tr_win_rate,tr_gross_profit,tr_gross_loss,tr_net_pnl,tr_fees,tr_blocked,tr_head_dropped,va_return_pct,va_pf,va_sharpe,va_max_dd,va_trades,va_wins,va_losses,va_win_rate,va_gross_profit,va_gross_loss,va_net_pnl,va_fees,va_blocked,va_head_dropped,c_va_ret,c_va_pf,c_va_dd,c_va_sample,c_tr_ret,c_tr_pf,c_consistency
1c_risk,0,0.6319241414122099,True,92,21,59.0,40.0,20,16,3.4000000000000004,10,28,1.5,2.7,2.5,0.029,0.65,76.41626088344965,1.365726338319106,1.5300095042360344,29.390027016911237,125,45,80,36.0,28535.650000000005,20894.120000000003,7641.5300000000025,2688.98,0,1,78.0290147086,2.038217331718935,3.551755320515839,14.456051937205503,64,29,35,45.3125,15318.63,7515.700000000001,7802.9299999999985,1382.12,0,0,0.23408704412579998,0.25,-0.0,0.05470085470085471,0.07641626088344966,0.018286316915955305,-0.0015663352138497225
1c_risk,1,0.40482613428571357,True,92,21,59.0,40.0,20,16,3.4000000000000004,10,28,1.5,2.7,3.5,0.009000000000000001,0.3,27.2907892785498,1.3388452532014914,1.4349384690174634,15.303331922128741,125,45,80,36.0,10783.140000000003,8054.0599999999995,2729.0800000000036,1151.11,0,1,29.50923198550003,1.8928923719325852,3.341746411440547,5.926235750823341,64,29,35,45.3125,6255.820000000001,3304.9,2950.9200000000005,642.91,0,0,0.08852769595650008,0.2232230929831463,-0.0,0.05470085470085471,0.0272907892785498,0.01694226266007457,-0.005858561293411891
1c_risk,2,0.4205071659794433,True,92,21,59.0,40.0,20,16,3.4000000000000004,10,28,1.5,2.7,1.0,0.027,0.55,25.124548764249937,1.405541207993027,1.4382060578459683,10.51070962906131,125,45,80,36.0,8707.89,6195.400000000001,2512.489999999999,780.51,0,1,24.301174783800032,2.1263232540462376,3.6500071385484034,5.346267506308056,64,29,35,45.3125,4587.67,2157.56,2430.11,392.27,0,0,0.0729035243514001,0.25,-0.0,0.05470085470085471,0.025124548764249938,0.02027706039965135,-0.0024988222367127782
1c_risk,3,0.32139439428724637,True,92,21,59.0,40.0,20,16,3.4000000000000004,10,28,1.5,2.7,4.0,0.005,0.75,12.677816719899837,1.2645388931432309,1.157874120514579,9.752516488665837,125,45,80,36.0,6060.290000000002,4792.49,1267.800000000002,751.38,0,1,18.32617403505008,1.8525499974413968,3.344763931794758,3.4595842461768327,64,29,35,45.3125,3982.26,2149.6099999999997,1832.6500000000005,500.45,0,0,0.05497852210515024,0.2131374993603492,-0.0,0.05470085470085471,0.012677816719899837,0.013226944657161545,-0.027327243256169167
1c_risk,4,0.40455473198366576,True,92,21,59.0,40.0,20,16,3.4000000000000004,10,28,1.5,2.7,4.5,0.01,0.35,29.927111799849683,1.3113531734265518,1.3507104202498925,18.334383970979516,125,45,80,36.0,12604.53,9611.849999999999,2992.680000000002,1425.16,0,1,35.010475994900006,1.8442791756495402,3.3010340798025006,6.561619337578454,64,29,35,45.3125,7647.82,4146.78,3501.04,842.74,0,0,0.10503142798470001,0.21106979391238506,-0.0,0.05470085470085471,0.029927111799849682,0.015567658671327589,-0.011742115085451296
1c_risk,5,0.44054427261719337,True,92,21,59.0,40.0,20,16,3.4000000000000004,10,28,1.5,2.7,1.5,0.012,0.5,31.58118263424987,1.4021003417384348,1.5634964909669762,14.1020678136363,125,45,80,36.0,11012.039999999997,7853.96,3158.079999999997,1033.5,0,1,29.63880108649995,2.0045314660665388,3.450129298286164,6.788263537217137,64,29,35,45.3125,5914.33,2950.4799999999996,2963.8500000000004,534.97,0,0,0.08891640325949984,0.25,-0.0,0.05470085470085471,0.031581182634249874,0.02010501708692174,-0.004759185064332775
1c_risk,6,0.446614939196155,True,92,21,59.0,40.0,20,16,3.4000000000000004,10,28,1.5,2.7,2.5,0.012,0.55,37.24330273654992,1.3361484702677675,1.4421286145947803,19.81504864452946,125,45,80,36.0,14803.71,11079.39,3724.3199999999997,1577.46,0,1,40.50567020080003,1.8905615492347712,3.340537770704511,7.822912484348265,64,29,35,45.3125,8598.86,4548.3099999999995,4050.550000000001,883.99,0,0,0.12151701060240008,0.2226403873086928,-0.0,0.05470085470085471,0.037243302736549924,0.016807423513388375,-0.006294039665730872
1c_risk,7,0.4359072918534295,True,92,21,59.0,40.0,20,16,3.4000000000000004,10,28,1.5,2.7,1.5,0.012,0.45,28.813461535999956,1.3997089635885427,1.5319474778265303,13.082518756699352,125,45,80,36.0,10090.109999999999,7208.719999999999,2881.3899999999994,936.44,0,1,28.097867707400038,2.0576517706576722,3.5543080699656158,6.272559144059725,64,29,35,45.3125,5466.439999999999,2656.64,2809.799999999999,482.99,0,0,0.0842936031222001,0.25,-0.0,0.05470085470085471,0.028813461535999958,0.019985448179427136,-0.0018860756850523884
1c_risk,8,0.5216941886026328,True,92,21,59.0,40.0,20,16,3.4000000000000004,10,28,1.5,2.7,3.0,0.025,0.35,49.05408761494993,1.3785309600939586,1.4646268282187083,20.1280611970418,125,45,80,36.0,17864.300000000003,12958.939999999999,4905.360000000004,1635.07,0,1,50.29583637014999,2.1163646533431586,3.647961725016614,9.96437453804672,64,29,35,45.3125,9534.9,4505.32,5029.58,825.49,0,0,0.15088750911044999,0.25,-0.0,0.05470085470085471,0.04905408761494993,0.01892654800469793,-0.0018748108283197517
1c_risk,9,0.4610635685702235,True,92,21,59.0,40.0,20,16,3.4000000000000004,10,28,1.5,2.7,3.0,0.02,0.25,34.26379705094989,1.3895608949688414,1.4367978302515343,14.586514419822864,125,45,80,36.0,12221.729999999998,8795.39,3426.3399999999983,1106.22,0,1,34.23094141494998,2.1228649685916254,3.6493830707900803,7.220115212240981,64,29,35,45.3125,6471.66,3048.55,3423.1099999999997,556.05,0,0,0.10269282424484995,0.25,-0.0,0.05470085470085471,0.03426379705094989,0.019478044748442072,-7.195217487310844e-05
1c_risk,10,0.5399815875454155,True,92,21,59.0,40.0,20,16,3.4000000000000004,10,28,1.5,2.7,5.0,0.019,0.75,53.790171678549704,1.2663801996025381,1.238840658195051,32.91402263628023,125,45,80,36.0,25572.18,20193.13,5379.049999999999,3027.11,0,1,78.57704400470007,1.8421167135361296,3.345722715494888,12.10131926494034,64,29,35,45.3125,17188.57,9330.88,7857.6900000000005,1983.8,0,0,0.2357311320141002,0.2105291783840324,-0.0,0.05470085470085471,0.05379017167854971,0.013319009980126906,-0.028088759212248415
1c_risk,11,0.5399815875454155,True,92,21,59.0,40.0,20,16,3.4000000000000004,10,28,1.5,2.7,5.0,0.019,0.75,53.790171678549704,1.2663801996025381,1.238840658195051,32.91402263628023,125,45,80,36.0,25572.18,20193.13,5379.049999999999,3027.11,0,1,78.57704400470007,1.8421167135361296,3.345722715494888,12.10131926494034,64,29,35,45.3125,17188.57,9330.88,7857.6900000000005,1983.8,0,0,0.2357311320141002,0.2105291783840324,-0.0,0.05470085470085471,0.05379017167854971,0.013319009980126906,-0.028088759212248415
1c_risk,12,0.6547871238014026,True,92,21,59.0,40.0,20,16,3.4000000000000004,10,28,1.5,2.7,5.0,0.03,0.65,104.05975103239955,1.3101016160404282,1.4660961478496837,42.50124675655888,125,45,80,36.0,43962.7,33556.71,10405.989999999998,4697.17,0,1,120.90372246804999,1.8616243196843805,3.337664285378507,18.428906962125243,64,29,35,45.3125,26122.480000000003,14032.090000000002,12090.390000000001,2725.19,0,0,0.3,0.21540607992109512,-0.019593754069287105,0.05470085470085471,0.1,0.01550508080202141,-0.01123113755328159
1c_risk,13,0.5769881517726523,True,92,21,59.0,40.0,20,16,3.4000000000000004,10,28,1.5,2.7,2.0,0.03,0.65,62.29830046249973,1.3699769812952234,1.4767101409655026,24.510868953614978,125,45,80,36.0,23068.32999999999,16838.48,6229.849999999991,2124.29,0,1,64.82312516945007,2.1101511176265073,3.6471315282268675,12.19013465066589,64,29,35,45.3125,12321.509999999998,5839.160000000001,6482.349999999998,1073.45,0,0,0.1944693755083502,0.25,-0.0,0.05470085470085471,0.062298300462499734,0.01849884906476117,-0.002979227963813555
1c_risk,14,0.6798667581788006,True,92,21,59.0,40.0,20,16,3.4000000000000004,10,28,1.5,2.7,4.0,0.03,0.65,108.63574021689955,1.35410007056864,1.592820682037206,38.00890143447187,125,45,80,36.0,41542.91,30679.35,10863.560000000005,4188.93,0,1,107.59612632240018,1.9022589996469657,3.3527425108757756,18.041967254182786,64,29,35,45.3125,22684.799999999996,11925.189999999999,10759.609999999997,2248.12,0,0,0.3,0.2255647499117414,-0.017382670023901637,0.05470085470085471,0.1,0.017705003528431996,-0.0007211799383258943
