trial,score,gated,ema_period,rsi_period,rsi_overbought,rsi_oversold,atr_period,consolidation_candles,consolidation_atr_mult,swing_lookback,volume_sma_period,volume_mult,risk_reward_ratio,leverage,risk_per_trade_pct,max_position_allocation_pct,tr_return_pct,tr_pf,tr_sharpe,tr_max_dd,tr_trades,tr_wins,tr_losses,tr_win_rate,tr_gross_profit,tr_gross_loss,tr_net_pnl,tr_fees,tr_blocked,tr_head_dropped,va_return_pct,va_pf,va_sharpe,va_max_dd,va_trades,va_wins,va_losses,va_win_rate,va_gross_profit,va_gross_loss,va_net_pnl,va_fees,va_blocked,va_head_dropped,c_va_ret,c_va_pf,c_va_dd,c_va_sample,c_tr_ret,c_tr_pf,c_consistency,c_gate_shortfall
33,0.07216872285087865,True,69,20,60.0,43.0,12,18,3.1,7,18,1.3,2.5,5.0,0.008,0.5,10.147595366599854,1.1119382735114385,0.6350890537001974,10.572603667422833,147.0,52.0,95.0,35.374149659863946,10080.609999999999,9065.8,1014.8099999999995,1685.3799999999999,0.0,1.0,5.091184853550003,1.1209548088505372,0.7063949041414292,6.953279438053308,71.0,25.0,46.0,35.2112676056338,4718.11,4209.01,509.09999999999945,787.41,0.0,0.0,0.01527355456065001,0.030238702212634305,-0.0,0.06068376068376068,0.010147595366599855,0.005596913675571924,-0.04977180364833813,
34,-1.038991424109627,False,101,20,57.0,42.0,12,19,3.1,11,16,1.2000000000000002,2.5,5.0,0.007,0.5,-6.003550117950072,0.8575377963612028,-0.5285927102144417,12.146661793764336,76.0,23.0,53.0,30.263157894736842,3613.6899999999996,4214.030000000001,-600.340000000001,771.99,0.0,0.0,9.974801260449967,1.4936017339152639,1.7144930520397084,4.473704542891339,42.0,18.0,24.0,42.857142857142854,3018.36,2020.86,997.5000000000002,513.55,0.0,0.0,,,,,,,,0.23394854465776158
35,-2.0,False,75,18,60.0,44.0,10,20,2.3,8,19,1.2000000000000002,2.6,4.5,0.009000000000000001,0.45,6.7216968951000124,3.2106163257251854,1.0719801510085256,2.8116839004363214,8.0,5.0,3.0,62.5,976.2199999999999,304.06,672.1599999999999,122.93,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,6.0
36,-1.2751984527472267,False,85,10,56.0,37.0,8,17,3.0,10,24,1.7000000000000002,2.3,3.5,0.006,0.5,-6.284066074199945,0.3781911735602612,-1.4750258325217014,9.046206910191088,19.0,4.0,15.0,21.05263157894737,382.20000000000005,1010.6000000000001,-628.4000000000001,170.26999999999998,0.0,0.0,0.4622579085999678,1.1350632652464863,0.263641766828459,2.5789931960557153,8.0,3.0,5.0,37.5,388.43,342.21,46.22000000000003,63.09,0.0,0.0,,,,,,,,1.6511907164833595
37,-1.0806674139790868,False,29,21,60.0,41.0,19,18,2.5,5,15,1.3,2.1,4.0,0.016,0.25,13.795166412499876,1.269269957019554,0.9744985616741996,15.325805654124913,86.0,37.0,49.0,43.02325581395349,6502.8,5123.26,1379.54,992.79,0.0,1.0,-7.076337484799988,0.6845750963917182,-1.417885761349754,8.555771684738035,40.0,14.0,26.0,35.0,1535.8100000000002,2243.45,-707.6399999999996,383.91,0.0,0.0,,,,,,,,0.48400448387452083
38,-1.0139473848735836,False,70,8,55.0,43.0,12,8,3.6,16,26,0.9,1.8,2.0,0.01,0.75,-8.368430924150216,0.9082846916118512,-0.46327097249284444,17.190779997244555,176.0,67.0,109.0,38.06818181818182,8287.68,9124.539999999999,-836.8599999999988,2056.71,0.0,0.0,6.950558646449954,1.1695021485603916,0.957788818930266,6.166871925366657,76.0,35.0,41.0,46.05263157894737,4795.450000000001,4100.42,695.0300000000007,1033.07,0.0,0.0,,,,,,,,0.08368430924150216
39,-1.0183245105595005,False,99,11,62.0,34.0,11,19,3.8000000000000003,7,23,1.3,1.5,5.0,0.012,0.45,-10.994706335700267,0.8809957807368665,-0.5719155943414581,15.97439410537525,127.0,54.0,73.0,42.51968503937008,8139.15,9238.58,-1099.4300000000003,1752.55,0.0,1.0,2.519848648000079,1.0539296987855122,0.35836788408388665,9.67436625182195,63.0,30.0,33.0,47.61904761904762,4924.750000000001,4672.749999999999,252.00000000000182,1079.01,0.0,0.0,,,,,,,,0.10994706335700266
40,-1.3732787033024831,False,56,15,68.0,21.0,16,15,1.9,4,26,1.1,3.2,4.5,0.008,0.55,0.1248808361999727,1.0143190982404693,0.04387377174567907,4.587619518331922,13.0,4.0,9.0,30.76923076923077,885.46,872.9599999999999,12.500000000000114,201.06,0.0,0.0,-2.251129440200002,0.5120730015606034,-0.8368881894503906,4.092794791756764,6.0,1.0,5.0,16.666666666666668,236.25,461.36,-225.11,77.29,0.0,0.0,,,,,,,,2.2396722198148993
41,-1.0071530446035593,False,65,19,64.0,39.0,15,13,3.4000000000000004,6,21,1.4,2.7,5.0,0.013000000000000001,0.6000000000000001,1.900419419399841,1.0071672613618323,0.1980467773747826,25.762035460180176,262.0,81.0,181.0,30.916030534351144,26710.67,26520.59,190.0799999999981,3977.31,0.0,1.0,0.5141275950997443,1.0049358189975766,0.17387936381432098,18.59807305556341,109.0,34.0,75.0,31.192660550458715,10471.18,10419.750000000002,51.42999999999847,1729.6,0.0,2.0,,,,,,,,0.0429182676213557
42,0.11833753963786393,True,45,20,59.0,37.0,14,17,3.2,8,13,1.6,3.0,5.0,0.011,0.5,19.4564961145997,1.1238166331925639,0.7692472017653378,12.121645539834754,169.0,52.0,117.0,30.76923076923077,17659.25,15713.64,1945.6100000000006,2468.17,0.0,0.0,10.821694166549987,1.1590184049079753,0.9347456157981064,10.470976076567288,74.0,24.0,50.0,32.432432432432435,7887.41,6805.250000000001,1082.159999999999,1183.76,0.0,1.0,0.03246508249964996,0.03975460122699381,-0.0,0.06324786324786325,0.019456496114599705,0.006190831659628193,-0.042777335110870986,
