stage,trial,score,gated,ema_period,rsi_period,rsi_overbought,rsi_oversold,atr_period,consolidation_candles,consolidation_atr_mult,swing_lookback,volume_sma_period,volume_mult,risk_reward_ratio,leverage,risk_per_trade_pct,max_position_allocation_pct,tr_return_pct,tr_pf,tr_sharpe,tr_max_dd,tr_trades,tr_wins,tr_losses,tr_win_rate,tr_gross_profit,tr_gross_loss,tr_net_pnl,tr_fees,tr_blocked,tr_head_dropped,va_return_pct,va_pf,va_sharpe,va_max_dd,va_trades,va_wins,va_losses,va_win_rate,va_gross_profit,va_gross_loss,va_net_pnl,va_fees,va_blocked,va_head_dropped,c_gate_shortfall,c_va_ret,c_va_pf,c_va_dd,c_va_sample,c_tr_ret,c_tr_pf,c_consistency
1a_broad,10,-1.0380145875430002,False,104,17,80.0,20.0,21,4,3.9000000000000004,14,12,1.2000000000000002,2.0,1.0,0.015,0.5,-6.955447588600092,0.9482102385256617,-0.234599793992622,16.80508164841,280.0,99.0,181.0,35.357142857142854,12735.259999999998,13430.84,-695.5800000000017,1294.84,0.0,3.0,-4.2193790683500625,0.9278437783770748,-0.3642792282513789,18.36523016203289,127.0,43.0,84.0,33.85826771653543,5425.65,5847.590000000001,-421.9400000000014,573.39,0.0,1.0,0.2280875252580018,,,,,,,
1a_broad,11,-1.0563464631237445,False,93,11,66.0,27.0,11,13,2.8,4,11,0.6,1.7000000000000002,1.0,0.015,0.5,-3.4063474430000316,0.9523620412152874,-0.2331559059072271,13.181068848917917,296.0,120.0,176.0,40.54054054054054,6810.56,7151.2300000000005,-340.6700000000001,1438.37,0.0,2.0,-6.17370883645006,0.7956078732546361,-1.4565872374218747,8.646664162640823,127.0,45.0,82.0,35.43307086614173,2403.42,3020.86,-617.44,620.11,0.0,1.0,0.33807877874246656,,,,,,,
1a_broad,12,-1.036909613250492,False,115,11,67.0,32.0,7,11,2.8,8,21,1.3,1.7000000000000002,1.0,0.015,0.5,-7.934701857450219,0.8585215481275986,-0.6665078929333285,8.655778977789943,169.0,65.0,104.0,38.46153846153846,4815.31,5608.84,-793.5299999999997,811.58,0.0,2.0,-1.5657799822500418,0.917224495838753,-0.34157929948993904,5.487914591476292,60.0,23.0,37.0,38.333333333333336,1734.71,1891.26,-156.54999999999995,294.18,0.0,2.0,0.2214576795029522,,,,,,,
1a_broad,13,-1.0194755127852964,False,73,15,63.0,39.0,11,17,2.9000000000000004,4,17,0.8,1.6,1.0,0.015,0.5,-2.228613141399965,0.9558584682179387,-0.19371465038033234,6.664231460432116,192.0,73.0,119.0,38.020833333333336,4825.900000000001,5048.76,-222.85999999999967,946.9,0.0,1.0,-0.833109645099994,0.9594523587108827,-0.15069304854217241,5.065926927385498,82.0,33.0,49.0,40.24390243902439,1972.02,2055.36,-83.34000000000015,410.24,0.0,0.0,0.11685307671177797,,,,,,,
1a_broad,14,-1.2908769973987366,False,120,18,69.0,24.0,10,13,2.3,14,50,2.0,2.2,1.0,0.015,0.5,3.102416289449993,1.5073506565714379,0.6399288028507173,6.775826387201277,14.0,6.0,8.0,42.857142857142854,921.76,611.51,310.25,71.55,0.0,1.0,2.2987288210999943,3.9681084570690763,1.5388572673573437,1.4367204917091276,4.0,3.0,1.0,75.0,307.33,77.45,229.88,20.13,0.0,0.0,1.7452619843924193,,,,,,,
1a_broad,15,-1.0026527481953333,False,81,13,62.0,31.0,13,9,3.3000000000000003,7,42,1.4,1.5,1.0,0.015,0.5,-1.5916489172000365,0.9743150353373996,-0.0878994439758638,11.4328454365034,180.0,77.0,103.0,42.77777777777778,6038.22,6197.4,-159.17999999999938,880.23,0.0,2.0,9.81924501224994,1.465935567756355,2.0033917906877305,3.653962087596748,82.0,43.0,39.0,52.4390243902439,3089.21,2107.3300000000004,981.8799999999997,438.54,0.0,2.0,0.015916489172000364,,,,,,,
1a_broad,16,-1.0031992501117502,False,89,9,61.0,30.0,14,9,3.4000000000000004,7,43,1.4,2.2,1.0,0.015,0.5,-1.9195500670500771,0.9462834084682824,-0.1557434523803311,10.652314760828773,98.0,34.0,64.0,34.69387755102041,3381.6099999999997,3573.5699999999997,-191.96000000000004,469.53,0.0,2.0,7.605048821099972,1.7068528036731692,2.1088107768479656,2.9944256794351114,46.0,22.0,24.0,47.82608695652174,1836.4199999999996,1075.91,760.5099999999995,237.59,0.0,0.0,0.01919550067050077,,,,,,,
1a_broad,17,-1.0291957009107635,False,128,14,63.0,24.0,13,4,3.4000000000000004,11,28,1.8,1.4,1.0,0.015,0.5,2.474986519549802,1.0522074459108242,0.24843272992333112,9.839004535847188,126.0,57.0,69.0,45.23809523809524,4987.799999999999,4740.3200000000015,247.47999999999774,605.71,0.0,2.0,-2.4016650906500034,0.8912845677140153,-0.45425808800670253,9.178684318687555,58.0,27.0,31.0,46.55172413793103,1968.9099999999999,2209.07,-240.1600000000003,279.05,0.0,1.0,0.17517420546458073,,,,,,,
1a_broad,18,-1.0245874081111364,False,150,19,56.0,24.0,12,8,2.4000000000000004,13,17,1.0,2.0,1.0,0.015,0.5,-4.44425184460004,0.886137662650417,-0.4229021325876434,13.205069472658264,125.0,46.0,79.0,36.8,3458.87,3903.3100000000004,-444.4400000000005,573.76,0.0,0.0,-0.7231607233999784,0.9493571608638411,-0.1698101956593892,4.553500269963022,45.0,16.0,29.0,35.55555555555556,1355.72,1428.0400000000004,-72.32000000000039,223.11,0.0,0.0,0.1475244486668182,,,,,,,
1a_broad,19,-1.0579403584054452,False,20,13,60.0,35.0,7,15,3.7,6,44,1.4,1.5,1.0,0.015,0.5,-6.317141541350193,0.9385981622699678,-0.3626921756007491,14.38240147293072,299.0,125.0,174.0,41.80602006688963,9657.029999999999,10288.779999999999,-631.75,1411.16,0.0,4.0,-8.517379501299912,0.840738212993521,-1.1063251837812265,17.740163872202565,153.0,65.0,88.0,42.48366013071895,4496.31,5348.05,-851.7399999999998,723.16,0.0,3.0,0.3476421504326715,,,,,,,
1a_broad,20,-1.1747258408366081,False,87,10,55.0,30.0,17,6,3.1,10,16,1.7000000000000002,1.9,1.0,0.015,0.5,-6.201167824149997,0.5442317869112718,-1.3121397633446448,7.43370313190002,39.0,13.0,26.0,33.333333333333336,740.4599999999999,1360.56,-620.1,185.47,0.0,2.0,2.0073782275999656,1.3835820610322356,0.9725111178328649,2.5747863915441362,23.0,11.0,12.0,47.82608695652174,724.0699999999999,523.33,200.7399999999999,116.28999999999999,0.0,0.0,1.0483550450196493,,,,,,,
1a_broad,21,0.13359942847317444,True,82,9,61.0,31.0,13,10,3.6,7,45,1.4,2.3,1.0,0.015,0.5,3.1129675496499294,1.0713782944136832,0.32166520932503245,9.030472525857565,115.0,40.0,75.0,34.78260869565217,4672.87,4361.55,311.3199999999997,571.65,0.0,2.0,6.679720454399922,1.4648526392706775,1.618662563040714,4.4384824347292025,53.0,23.0,30.0,43.39622641509434,2104.92,1436.95,667.97,269.08,0.0,1.0,,0.020039161363199765,0.11621315981766939,-0.0,0.045299145299145305,0.0031129675496499296,0.0035689147206841576,-0.05463392027717412
1a_broad,22,-1.0090579710144927,False,104,7,62.0,35.0,13,10,3.6,8,44,1.4,2.4000000000000004,1.0,0.015,0.5,5.581483554899988,1.1839062659597952,0.6081758088116156,4.950169932945391,87.0,31.0,56.0,35.632183908045974,3593.12,3034.9700000000003,558.1499999999996,441.06,0.0,2.0,11.772212075450007,2.1847926731078906,2.7882932826114986,3.049316436794568,41.0,19.0,22.0,46.34146341463415,2170.81,993.5999999999999,1177.21,214.6,0.0,0.0,0.05434782608695654,,,,,,,
1a_broad,23,-1.150788911415632,False,76,10,58.0,30.0,13,11,2.5,6,38,1.2000000000000002,1.4,1.0,0.015,0.5,-4.798876392300063,0.6785429602984814,-1.101060359067458,5.861029437078772,58.0,23.0,35.0,39.6551724137931,1012.9900000000001,1492.8900000000003,-479.9000000000002,285.24,0.0,2.0,0.36565711984996596,1.100425765691526,0.26413404647719957,1.9710638219465548,20.0,10.0,10.0,50.0,400.60999999999996,364.04999999999995,36.56,100.91,0.0,0.0,0.9047334684937922,,,,,,,
1a_broad,24,-1.0211066967585833,False,50,16,65.0,26.0,15,8,3.1,9,49,1.4,3.2,1.0,0.015,0.5,-12.664018055150065,0.8717744140130613,-0.5663038233026328,16.97824750986009,197.0,52.0,145.0,26.395939086294415,8610.08,9876.5,-1266.42,897.14,0.0,1.0,3.94197770144996,1.0905019134834577,0.4927686049826817,12.400682854715207,89.0,23.0,66.0,25.84269662921348,4750.149999999999,4355.93,394.21999999999844,439.19,0.0,4.0,0.12664018055150064,,,,,,,
