stage,trial,score,gated,ema_period,rsi_period,rsi_overbought,rsi_oversold,atr_period,consolidation_candles,consolidation_atr_mult,swing_lookback,volume_sma_period,volume_mult,risk_reward_ratio,leverage,risk_per_trade_pct,max_position_allocation_pct,tr_return_pct,tr_pf,tr_sharpe,tr_max_dd,tr_trades,tr_wins,tr_losses,tr_win_rate,tr_gross_profit,tr_gross_loss,tr_net_pnl,tr_fees,tr_blocked,tr_head_dropped,va_return_pct,va_pf,va_sharpe,va_max_dd,va_trades,va_wins,va_losses,va_win_rate,va_gross_profit,va_gross_loss,va_net_pnl,va_fees,va_blocked,va_head_dropped,c_gate_shortfall,c_va_ret,c_va_pf,c_va_dd,c_va_sample,c_tr_ret,c_tr_pf,c_consistency
1b_narrow,0,-1.0017906863161667,False,102,21,79.0,41.0,14,5,2.1,14,34,1.9,1.6,1.0,0.015,0.5,-1.0744117896999887,0.9817319783842574,-0.017082050668179173,15.287958636480214,121,51,70,42.14876033057851,5777.1,5884.599999999999,-107.49999999999909,589.11,0,2,12.266105037700017,1.4794828994843847,2.019084131321253,4.655593415862868,64,30,34,46.875,3784.6799999999994,2558.11,1226.5699999999993,345.37,0,0,0.010744117896999887,,,,,,,
1b_narrow,1,0.18813821969637717,True,117,20,75.0,37.0,14,6,2.4000000000000004,11,31,1.9,1.8,1.0,0.015,0.5,8.916869797299986,1.1582631536911976,0.6558009892411074,7.606152514351762,127,55,72,43.30708661417323,6526.0599999999995,5634.35,891.7099999999991,658.63,0,3,10.960599248950112,1.3931731848785611,1.8077640264766628,4.018756970784445,70,33,37,47.142857142857146,3883.93,2787.8300000000004,1096.0999999999995,369.02,0,0,,0.032881797746850336,0.09829329621964028,-0.0,0.05555555555555556,0.008916869797299987,0.00791315768455988,-0.015422457307528878
1b_narrow,2,0.10922875159665482,True,100,17,77.0,43.0,14,7,2.5,9,34,1.7,1.7000000000000002,1.0,0.015,0.5,9.047375349650011,1.1432958602186303,0.643578195172007,6.781889386210059,153,63,90,41.1764705882353,7218.6100000000015,6313.860000000001,904.7500000000009,787.52,0,1,5.5281529663999756,1.1807556250122602,0.9929646432596827,4.5460987875579795,85,36,49,42.35294117647059,3611.5299999999997,3058.66,552.8699999999999,435.63,0,0,,0.016584458899199926,0.04518890625306504,-0.0,0.06746031746031747,0.009047375349650012,0.007164793010931514,-0.03621709937650914
1b_narrow,3,0.3474334288687842,True,116,21,79.0,38.0,14,8,2.4000000000000004,9,33,1.7,3.0,1.0,0.015,0.5,12.708428131349883,1.2224299228998747,0.7770615765064431,11.997602497058631,111,35,76,31.53153153153153,6984.169999999999,5713.35,1270.8199999999988,595.0,0,2,26.577419891850003,2.146436782600819,3.303564947684996,6.752787755184976,59,24,35,40.67796610169491,4976.02,2318.27,2657.7500000000005,336.98,0,0,,0.07973225967555,0.25,-0.0,0.046825396825396826,0.012708428131349883,0.011121496144993737,-0.05295415190850627
1b_narrow,4,-1.02014141454175,False,99,19,76.0,40.0,16,5,2.7,13,37,2.0,2.5,1.0,0.015,0.5,-12.084848725050051,0.8434412201754398,-0.6292322684742095,20.937467483278517,138,42,96,30.434782608695652,6510.43,7718.89,-1208.46,630.42,0,1,6.121401588300014,1.1627604616722191,0.7545867171221798,9.298078236757176,68,24,44,35.294117647058826,4373.27,3761.11,612.1600000000003,356.34,0,0,0.12084848725050051,,,,,,,
1b_narrow,5,0.39767454823313486,True,116,15,75.0,36.0,15,6,2.2,13,32,1.8,2.4000000000000004,1.0,0.015,0.5,19.68441036339993,1.331293557708652,1.2170509285387807,9.974691196762752,117,45,72,38.46153846153846,7910.32,5941.83,1968.4899999999998,629.02,0,1,35.776222618099986,2.5440546221207505,4.690835210771633,2.898901771226491,60,30,30,50.0,5894.599999999999,2317.0099999999998,3577.5899999999997,363.5,0,0,,0.10732866785429995,0.25,-0.0,0.047619047619047616,0.01968441036339993,0.0165646778854326,-0.043522255489045245
1b_narrow,6,0.031167477199406175,True,96,20,74.0,44.0,17,5,2.1,13,35,1.9,2.8000000000000003,1.0,0.015,0.5,0.31708988275002414,1.004896990349549,0.08250130868094435,16.161155246187786,110,35,75,31.818181818181817,6511.22,6479.490000000001,31.729999999999563,537.2,0,1,11.222909120900058,1.3674727001850002,1.359433344758284,8.209342777478442,59,20,39,33.898305084745765,4176.33,3054.05,1122.2799999999997,322.62,0,0,,0.03366872736270017,0.09186817504625006,-0.0,0.046825396825396826,0.0003170898827500242,0.00024484951747745233,-0.14175676143516835
1b_narrow,7,0.20215378422784186,True,94,17,74.0,43.0,17,6,2.1,10,31,1.9,2.6,1.0,0.015,0.5,11.475943293100027,1.2057621137791548,0.7822902178921095,9.566977665456537,108,39,69,36.111111111111114,6724.679999999999,5577.12,1147.5599999999995,576.68,0,1,10.7926441154,1.4295054958174482,1.7315803319096108,6.064779863183194,57,19,38,33.333333333333336,3592.0899999999997,2512.8199999999997,1079.27,307.42,0,0,,0.0323779323462,0.10737637395436206,-0.0,0.045238095238095244,0.011475943293100027,0.010288105688957739,-0.004602666292873219
1b_narrow,8,-1.0072697970073334,False,115,18,74.0,42.0,17,7,2.6,11,33,1.8,1.6,1.0,0.015,0.5,-4.3618782044000906,0.9292968591691995,-0.27233602660251943,9.816779999661538,142,58,84,40.84507042253521,5732.599999999999,6168.75,-436.15000000000055,693.77,0,1,16.229980775650002,1.6342816945443177,2.736827083045037,3.610070867042978,75,38,37,50.666666666666664,4181.8,2558.8,1623.0,411.75,0,0,0.04361878204400091,,,,,,,
1b_narrow,9,-1.0289115646258504,False,95,15,78.0,38.0,16,9,2.2,11,35,1.7,1.7000000000000002,1.0,0.015,0.5,1.8407181750500605,1.0548607985118454,0.2128213991730391,8.759035148823681,81,34,47,41.97530864197531,3538.5199999999995,3354.4899999999993,184.0300000000002,410.98,0,1,1.9725550644000032,1.1294214908568394,0.555710076769941,3.693690664637704,42,17,25,40.476190476190474,1721.3400000000001,1524.09,197.25000000000023,213.15,0,0,0.173469387755102,,,,,,,
