trial,score,enabled,length,std,min_bandwidth_pct,expansion_lookback,expansion_min_ratio,min_mid_distance,tr_on_return_pct,tr_on_pf,tr_on_sharpe,tr_on_max_dd,tr_on_trades,tr_on_wins,tr_on_losses,tr_on_win_rate,tr_on_gross_profit,tr_on_gross_loss,tr_on_net_pnl,tr_on_fees,tr_on_blocked,tr_on_head_dropped,va_on_return_pct,va_on_pf,va_on_sharpe,va_on_max_dd,va_on_trades,va_on_wins,va_on_losses,va_on_win_rate,va_on_gross_profit,va_on_gross_loss,va_on_net_pnl,va_on_fees,va_on_blocked,va_on_head_dropped,c_gate_shortfall,c_valid_trade_ratio,c_reason,c_va_pf,c_va_netpnl,c_va_dd,c_tr_pf,c_tr_netpnl,c_tr_dd
139,0.0258790901101876,True,13,2.2,0.7000000000000001,17,0.05,0.02,91.15169508119979,1.3251969695023709,1.5268718674065356,29.892075478998574,114.0,48.0,66.0,42.10526315789474,37144.9,28029.720000000005,9115.179999999997,3322.33,25.0,1.0,105.21980371650004,1.9588134467289418,3.3211541183798965,13.308739150932514,55.0,27.0,28.0,49.09090909090909,21495.960000000003,10973.97,10521.990000000003,1613.88,20.0,0.0,,0.873015873015873,,0.029678169120817624,-0.004670136890684125,0.011202720175889537,0.0007157822046121448,-0.011050215038902095,2.7705384545132803e-06
116,0.018295829344388535,True,12,2.2,0.1,20,0.15000000000000002,0.05,95.86042490554959,1.3187459683050586,1.561735781880817,29.892355849942405,123.0,52.0,71.0,42.27642276422764,39660.229999999996,30074.2,9586.029999999995,3736.77,5.0,1.0,112.47408715404997,1.9082210176203307,3.4210943334553217,14.383301443164918,62.0,30.0,32.0,48.38709677419355,23631.39,12383.99,11247.4,1949.16,2.0,0.0,,0.9841269841269841,,0.013868035024376668,0.008796349581753888,-3.925432832019935e-06,-0.000493780519883899,-0.003872681929415199,1.8326203890964474e-06
117,0.018295829344388535,True,12,2.1,0.1,17,0.15000000000000002,0.05,95.86042490554959,1.3187459683050586,1.561735781880817,29.892355849942405,123.0,52.0,71.0,42.27642276422764,39660.229999999996,30074.2,9586.029999999995,3736.77,5.0,1.0,112.47408715404997,1.9082210176203307,3.4210943334553217,14.383301443164918,62.0,30.0,32.0,48.38709677419355,23631.39,12383.99,11247.4,1949.16,2.0,0.0,,0.9841269841269841,,0.013868035024376668,0.008796349581753888,-3.925432832019935e-06,-0.000493780519883899,-0.003872681929415199,1.8326203890964474e-06
119,0.018295829344388535,True,12,2.1,0.1,17,0.0,0.05,95.86042490554959,1.3187459683050586,1.561735781880817,29.892355849942405,123.0,52.0,71.0,42.27642276422764,39660.229999999996,30074.2,9586.029999999995,3736.77,5.0,1.0,112.47408715404997,1.9082210176203307,3.4210943334553217,14.383301443164918,62.0,30.0,32.0,48.38709677419355,23631.39,12383.99,11247.4,1949.16,2.0,0.0,,0.9841269841269841,,0.013868035024376668,0.008796349581753888,-3.925432832019935e-06,-0.000493780519883899,-0.003872681929415199,1.8326203890964474e-06
120,0.018295829344388535,True,12,2.1,0.1,15,0.05,0.05,95.86042490554959,1.3187459683050586,1.561735781880817,29.892355849942405,123.0,52.0,71.0,42.27642276422764,39660.229999999996,30074.2,9586.029999999995,3736.77,5.0,1.0,112.47408715404997,1.9082210176203307,3.4210943334553217,14.383301443164918,62.0,30.0,32.0,48.38709677419355,23631.39,12383.99,11247.4,1949.16,2.0,0.0,,0.9841269841269841,,0.013868035024376668,0.008796349581753888,-3.925432832019935e-06,-0.000493780519883899,-0.003872681929415199,1.8326203890964474e-06
121,0.018295829344388535,True,12,2.1,0.1,15,0.05,0.05,95.86042490554959,1.3187459683050586,1.561735781880817,29.892355849942405,123.0,52.0,71.0,42.27642276422764,39660.229999999996,30074.2,9586.029999999995,3736.77,5.0,1.0,112.47408715404997,1.9082210176203307,3.4210943334553217,14.383301443164918,62.0,30.0,32.0,48.38709677419355,23631.39,12383.99,11247.4,1949.16,2.0,0.0,,0.9841269841269841,,0.013868035024376668,0.008796349581753888,-3.925432832019935e-06,-0.000493780519883899,-0.003872681929415199,1.8326203890964474e-06
102,0.0150993790004637,True,13,2.1,0.7000000000000001,18,0.30000000000000004,0.1,73.31476450899976,1.3046535748686678,1.3469777423624216,30.542616835136794,101.0,41.0,60.0,40.59405940594059,31396.409999999996,24064.94,7331.4699999999975,2651.9,44.0,1.0,109.64542908300005,2.050629588000985,3.436118548341163,14.696182120264462,51.0,26.0,25.0,50.98039215686274,21400.760000000002,10436.19,10964.570000000002,1517.38,26.0,0.0,,0.8095238095238095,,0.058370713268331154,0.0035459031183750576,-0.0032669683400859168,-0.0031361042892071728,-0.0382406951976,-0.0021734695593494248
59,0.014686386768751903,True,26,2.3,0.5,20,0.4,0.08,103.06835598164955,1.3974997252127435,1.7207636066666814,21.316147591563507,104.0,45.0,59.0,43.26923076923077,36235.98,25929.149999999998,10306.830000000005,3192.11,44.0,0.0,95.84502496245008,1.9144352322708054,3.1594956908784386,17.175950937540406,57.0,27.0,30.0,47.36842105263158,20065.769999999997,10481.300000000003,9584.469999999994,1643.18,18.0,0.0,,0.9047619047619048,,0.015809977102650002,-0.02207422616108332,-0.029128559173537363,0.014272548900307006,0.007115033617613035,0.028691612482802543
133,0.007752597566136641,True,12,2.1,0.30000000000000004,16,0.0,0.01,98.40060809584979,1.321379464411106,1.5851463394161047,29.892903673390016,125.0,53.0,72.0,42.4,40458.34,30618.260000000002,9840.079999999994,3846.35,0.0,1.0,109.52664431065008,1.878025552000654,3.360035040151981,14.383288405039348,62.0,30.0,32.0,48.38709677419355,23426.809999999998,12474.17,10952.639999999998,1936.91,4.0,0.0,,0.9841269841269841,,0.004431952018227672,0.003324435005699137,-3.7894577901684053e-06,0.0,0.0,0.0
97,0.002551038038890944,True,15,2.1,0.8,17,0.15000000000000002,0.06,87.6475172090999,1.3517961944807688,1.511915998260366,30.542356382764048,103.0,43.0,60.0,41.74757281553398,33679.11,24914.34,8764.77,2830.9,48.0,1.0,96.18596419880004,1.9828879737586986,3.175497202978999,14.416415831296536,48.0,24.0,24.0,50.0,19404.739999999998,9786.099999999999,9618.64,1375.51,38.0,0.0,,0.7619047619047619,,0.03720145881761665,-0.021439895447744266,-0.0003492764795077255,0.0057031368880617606,-0.016391787465142478,-0.002172598274392995
