trial,score,gated,ema_period,rsi_period,rsi_overbought,rsi_oversold,atr_period,consolidation_candles,consolidation_atr_mult,swing_lookback,volume_sma_period,volume_mult,risk_reward_ratio,risk_per_trade_pct,max_position_allocation_pct,leverage,tr_return_pct,tr_pf,tr_sharpe,tr_max_dd,tr_trades,tr_wins,tr_losses,tr_win_rate,tr_gross_profit,tr_gross_loss,tr_net_pnl,tr_fees,tr_blocked,va_return_pct,va_pf,va_sharpe,va_max_dd,va_trades,va_wins,va_losses,va_win_rate,va_gross_profit,va_gross_loss,va_net_pnl,va_fees,va_blocked
10,-10.0,False,83,15,80.0,20.0,7,4,2.1,20,13,2.0,1.0,0.014000000000000002,0.75,4.0,-32.40360610304995,0.7287287790086838,-1.6938260350774121,37.25375674424349,170.0,81.0,89.0,47.64705882352941,8704.76,11945.130000000001,-3240.370000000001,2375.67,0.0,-11.258080485500086,0.8035633896696249,-1.1256574892947713,19.688227632416947,77.0,38.0,39.0,49.35064935064935,4605.27,5731.0599999999995,-1125.789999999999,1047.28,0.0
11,-10.0,False,58,14,65.0,30.0,15,4,2.0,4,33,1.0,2.2,0.03,0.75,2.0,14.972470440400192,1.044466044270933,0.47190911501444094,27.203380198497147,388.0,134.0,254.0,34.5360824742268,35170.42,33673.11,1497.3099999999977,6816.28,0.0,-37.88069509150003,0.6767658753861119,-2.5037951194200017,44.14612594890113,169.0,52.0,117.0,30.76923076923077,7931.289999999999,11719.4,-3788.1100000000006,2085.14,0.0
12,-10.0,False,53,16,80.0,30.0,9,9,2.9000000000000004,13,10,1.3,2.6,0.027,0.6000000000000001,3.5,-50.02970782689998,0.8462008099192201,-0.924026580112359,60.869912357750025,302.0,79.0,223.0,26.158940397350992,27526.21,32529.170000000002,-5002.960000000003,4738.5,0.0,-27.432781269500072,0.819560538730106,-1.026311948218331,48.31863661598172,131.0,40.0,91.0,30.53435114503817,12459.91,15203.160000000002,-2743.250000000002,2157.54,0.0
13,-10.0,False,82,12,64.0,39.0,15,10,1.0,12,34,0.9,1.0,0.021,0.65,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14,-10.0,False,45,17,75.0,44.0,9,6,2.0,20,31,1.5,2.5,0.03,0.5,2.0,-6.977087511099745,0.9295622210308773,-0.1898644961743506,25.53932874072854,133.0,38.0,95.0,28.571428571428573,9207.100000000002,9904.77,-697.6699999999983,1376.89,0.0,-12.11821923955007,0.7871458432137147,-0.9213282908848981,21.922267520742743,69.0,22.0,47.0,31.884057971014492,4481.3,5693.100000000001,-1211.800000000001,654.58,0.0
15,-10.0,False,76,21,66.0,32.0,15,10,2.8,16,16,0.8,1.5,0.025,0.65,4.0,-66.38064517745002,0.7878990343230386,-1.8342679017113703,68.23444973600006,384.0,147.0,237.0,38.28125,24658.229999999996,31296.18,-6637.950000000004,6205.06,0.0,-52.5897740217003,0.6531006678117884,-3.040912649687696,61.59541515638286,156.0,58.0,98.0,37.17948717948718,9900.98,15159.96,-5258.98,2625.63,0.0
16,-10.0,False,100,12,59.0,26.0,9,5,2.3,6,37,1.5,3.0,0.02,0.5,3.0,-20.655293900250136,0.7425169406590776,-0.9301573114903289,26.468686246110458,104.0,25.0,79.0,24.03846153846154,5956.56,8022.120000000001,-2065.5600000000004,1383.48,0.0,-12.850170020050063,0.5853136698076674,-1.4476991478315961,14.970599164788942,34.0,6.0,28.0,17.647058823529413,1813.77,3098.8,-1285.0300000000002,460.45,0.0
17,-10.0,False,45,18,76.0,35.0,13,15,3.2,18,28,1.2000000000000002,2.0,0.027,0.25,1.5,-4.556805923449993,0.931703362003204,-0.38205597908932265,13.213995278028163,278.0,86.0,192.0,30.93525179856115,6216.799999999999,6672.51,-455.71000000000095,1062.51,0.0,-0.31797101169993763,0.9861213616612443,-0.03577477084965109,7.580542334372901,107.0,40.0,67.0,37.38317757009346,2258.07,2289.85,-31.779999999999745,395.43,0.0
18,-10.0,False,70,14,68.0,33.0,17,6,1.6,11,18,0.5,1.3,0.024,0.65,4.0,-52.810741964049704,0.7857174737781746,-1.7839786368408874,55.37824180594277,332.0,139.0,193.0,41.86746987951807,19364.4,24645.5,-5281.0999999999985,6664.26,0.0,-39.75452861665002,0.6038091422603314,-3.1211820424349788,43.2473616277239,122.0,47.0,75.0,38.52459016393443,6058.79,10034.280000000002,-3975.4900000000025,2388.88,0.0
19,-10.0,False,37,11,61.0,39.0,10,14,1.7000000000000002,13,38,1.6,2.2,0.028,0.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
