trial,score,enabled,length,std,min_bandwidth_pct,expansion_lookback,expansion_min_ratio,min_mid_distance,va_trades_ratio,tr_on_return_pct,tr_on_pf,tr_on_sharpe,tr_on_max_dd,tr_on_trades,tr_on_wins,tr_on_losses,tr_on_win_rate,tr_on_gross_profit,tr_on_gross_loss,tr_on_net_pnl,tr_on_fees,tr_on_blocked,va_on_return_pct,va_on_pf,va_on_sharpe,va_on_max_dd,va_on_trades,va_on_wins,va_on_losses,va_on_win_rate,va_on_gross_profit,va_on_gross_loss,va_on_net_pnl,va_on_fees,va_on_blocked
134,0.39037155479603364,True,50,2.3,0.7000000000000001,12,0.8,0.04,0.5420560747663551,16.11126204115013,1.0967173386208418,0.5553009528188704,22.89796938961586,111.0,36.0,75.0,32.432432432432435,18269.26,16658.129999999997,1611.130000000001,1916.38,427.0,55.53772446520008,1.955631916112747,3.042378992859293,7.823329212684338,58.0,26.0,32.0,44.827586206896555,11365.37,5811.61,5553.760000000001,1102.94,164.0
127,0.3812222193749545,True,50,2.3,1.2000000000000002,7,0.8,0.06,0.4485981308411215,5.916358482900014,1.0375559079269598,0.29029818795186924,21.541040319300297,102.0,31.0,71.0,30.392156862745097,16345.22,15753.580000000002,591.6399999999976,1700.91,442.0,52.143626765149996,2.029047657577474,2.958786154175253,9.81225972339645,48.0,22.0,26.0,45.833333333333336,10281.570000000002,5067.1900000000005,5214.380000000001,888.53,188.0
65,0.3805976576058643,True,46,2.6,0.0,14,0.35000000000000003,0.1,0.5607476635514018,13.845663954799967,1.0844632659796483,0.4935678533781184,22.907776911082234,109.0,35.0,74.0,32.11009174311926,17777.14,16392.569999999996,1384.5700000000033,1888.37,378.0,60.49586025624987,1.9424225524132361,3.158879226737178,9.878161102913912,60.0,26.0,34.0,43.333333333333336,12468.759999999998,6419.18,6049.579999999998,1163.21,161.0
98,0.37917814420799995,True,50,2.3,0.6000000000000001,10,0.75,0.03,0.6915887850467289,11.330752568850002,1.0490869276105033,0.4119918765136138,23.950938921345706,145.0,46.0,99.0,31.724137931034484,24217.28,23084.15,1133.1299999999974,2621.51,305.0,85.41204443404993,1.948744037873251,3.452047436020096,14.24001993249109,74.0,32.0,42.0,43.24324324324324,17543.88,9002.66,8541.220000000001,1569.23,110.0
147,0.35912768321338806,True,50,2.5,0.6000000000000001,2,0.45,0.06,0.7009345794392523,24.174486691699947,1.093563424098611,0.6742313742104901,28.184061578263382,153.0,50.0,103.0,32.6797385620915,28254.77,25837.339999999997,2417.430000000004,3071.83,280.0,71.69158973409995,1.8961386684399801,3.2705171462246523,10.941745383277407,75.0,33.0,42.0,44.0,15169.28,8000.09,7169.1900000000005,1469.23,115.0
142,0.3532099513678883,True,50,2.4,0.6000000000000001,4,0.6000000000000001,0.05,0.7102803738317757,46.01253085549965,1.1606229626542168,1.0324112519409532,23.68915177190154,164.0,55.0,109.0,33.53658536585366,33247.6,28646.34,4601.259999999998,3447.41,247.0,74.14949938664984,1.882047017987122,3.331254553735022,11.5989400026606,76.0,34.0,42.0,44.73684210526316,15821.56,8406.57,7414.99,1525.62,105.0
33,0.3525687114724369,True,50,2.5,1.4000000000000001,16,0.6000000000000001,0.04,0.514018691588785,8.141239140549951,1.0423151227681182,0.34160296495070586,25.484064551272823,124.0,37.0,87.0,29.838709677419356,20054.07,19239.93,814.1399999999994,2179.0,380.0,57.884476355000004,1.9544840686820117,3.0435713185461233,12.558673015146763,55.0,25.0,30.0,45.45454545454545,11852.91,6064.47,5788.44,1060.84,165.0
110,0.34006037693636854,True,50,2.4,1.1,10,0.6000000000000001,0.05,0.5981308411214953,2.569212661699748,1.0126490406986046,0.20508338040082372,24.013125923548625,142.0,44.0,98.0,30.985915492957748,20565.939999999995,20309.05,256.8899999999958,2320.59,318.0,61.40662606029982,1.888593204862724,3.068227471825324,12.993821546774337,64.0,29.0,35.0,45.3125,13051.180000000002,6910.530000000001,6140.6500000000015,1225.51,142.0
111,0.34006037693636854,True,50,2.4,1.1,10,0.6000000000000001,0.05,0.5981308411214953,2.569212661699748,1.0126490406986046,0.20508338040082372,24.013125923548625,142.0,44.0,98.0,30.985915492957748,20565.939999999995,20309.05,256.8899999999958,2320.59,318.0,61.40662606029982,1.888593204862724,3.068227471825324,12.993821546774337,64.0,29.0,35.0,45.3125,13051.180000000002,6910.530000000001,6140.6500000000015,1225.51,142.0
96,0.3341174198459633,True,50,2.3,0.5,10,0.7000000000000001,0.04,0.6728971962616822,22.123467133850045,1.096870792383763,0.6450423513473771,23.262255420349177,143.0,46.0,97.0,32.16783216783217,25050.39,22838.05,2212.34,2677.73,312.0,67.70643154964989,1.8618305821732977,3.1137029649016505,11.124718469836816,72.0,31.0,41.0,43.05555555555556,14626.69,7856.08,6770.610000000001,1428.29,120.0
18,0.33310800452224176,True,48,2.4,0.7000000000000001,12,0.15000000000000002,0.06,0.6728971962616822,33.88600030474994,1.1239109885709795,0.8331722602711606,23.407983675483145,158.0,51.0,107.0,32.278481012658226,30735.65,27347.05,3388.600000000002,3225.12,263.0,68.46370700724982,1.8587331172610329,3.2082310743483937,11.598745120547001,72.0,32.0,40.0,44.44444444444444,14819.01,7972.639999999999,6846.370000000001,1419.19,110.0
123,0.32504227379095285,True,48,2.3,0.7000000000000001,10,0.65,0.07,0.5420560747663551,-0.8161065273502753,0.9956135446859384,0.10441418957966744,22.766877027534697,126.0,39.0,87.0,30.952380952380953,18521.120000000003,18602.72,-81.59999999999854,2165.87,365.0,54.56425470789987,1.9069589239647882,2.893504417156807,13.366325161588414,58.0,26.0,32.0,44.827586206896555,11472.57,6016.16,5456.41,1076.76,158.0
132,0.32456227209459265,True,50,2.3,0.8,11,0.75,0.07,0.4485981308411215,-7.167062276300094,0.9450243669725897,-0.1232321519325766,21.877640636366927,98.0,29.0,69.0,29.591836734693878,12321.360000000002,13038.140000000001,-716.7799999999988,1492.86,449.0,45.12173559720006,1.960647137847856,2.733625953423538,9.714831632342895,48.0,22.0,26.0,45.833333333333336,9209.140000000001,4696.99,4512.1500000000015,842.21,186.0
109,0.3226420922183352,True,50,2.3,0.8,9,0.65,0.07,0.5420560747663551,-8.609390758200279,0.9501387127227658,-0.12823257406558575,28.45246349030985,126.0,38.0,88.0,30.158730158730158,16405.0,17265.899999999998,-860.8999999999978,1976.91,364.0,55.347517519649934,1.9171450065951254,2.9288508457571814,14.511931461185663,58.0,26.0,32.0,44.827586206896555,11569.51,6034.76,5534.75,1079.91,155.0
114,0.32077865924156523,True,50,2.4,1.2000000000000002,11,0.6000000000000001,0.09,0.4485981308411215,-16.913433021350066,0.8753344546932745,-0.4487176157140133,26.75489782138613,97.0,26.0,71.0,26.804123711340207,11875.54,13566.860000000002,-1691.3200000000015,1438.63,449.0,47.6968879005499,1.9624864293295992,2.882658163429863,8.407614697065819,48.0,21.0,27.0,43.75,9725.180000000002,4955.54,4769.640000000002,862.97,196.0
149,0.31394707492734014,True,48,2.6,0.7000000000000001,3,0.4,0.07,0.6542056074766355,17.674490302949852,1.0721218212303314,0.5451870061307138,29.50716711202398,143.0,46.0,97.0,32.16783216783217,26274.2,24506.73,1767.4700000000012,2831.19,306.0,63.250568578149846,1.8222910675562536,3.136053204788311,7.696259219000383,70.0,30.0,40.0,42.857142857142854,14016.99,7691.96,6325.03,1353.81,127.0
74,0.30817406857921975,True,45,2.6,0.4,13,0.15000000000000002,0.1,0.5887850467289719,36.60916931084991,1.1641832947343307,0.9552385131371449,27.507063440884334,121.0,41.0,80.0,33.88429752066116,25958.54,22297.64,3660.9000000000015,2566.9,347.0,54.214594470649935,1.8084283703341404,2.8928586011244364,9.87834036516357,63.0,26.0,37.0,41.26984126984127,12127.61,6706.160000000001,5421.45,1185.17,149.0
82,0.3078536701748994,True,47,2.5,0.2,14,0.30000000000000004,0.08,0.6261682242990654,32.90643221599991,1.131544662991306,0.8432055132319957,27.221594929465905,141.0,47.0,94.0,33.333333333333336,28305.850000000006,25015.23,3290.6200000000063,2929.91,320.0,60.9341001471999,1.8145512197534694,3.0641345992734945,10.441062621327097,67.0,29.0,38.0,43.28358208955224,13573.95,7480.61,6093.340000000001,1298.37,131.0
62,0.29954129905752525,True,48,2.5,0.0,15,0.55,0.07,0.5607476635514018,5.887585513499872,1.0324027622676482,0.2876620300999319,23.561267753501884,121.0,39.0,82.0,32.231404958677686,18757.859999999997,18169.13,588.7299999999959,2143.27,377.0,53.62448868309991,1.8542973348860847,2.8738431259140884,13.807100407036527,60.0,26.0,34.0,43.333333333333336,11639.480000000001,6277.030000000001,5362.450000000001,1125.55,148.0
