trial,score,ema_period,rsi_period,rsi_overbought,rsi_oversold,atr_period,consolidation_candles,consolidation_atr_mult,swing_lookback,volume_sma_period,volume_mult,risk_reward_ratio,risk_per_trade_pct,max_position_allocation_pct,leverage,tr_return_pct,tr_net_pnl,tr_gross_profit,tr_gross_loss,tr_pf,tr_sharpe,tr_max_dd,tr_trades,tr_wins,tr_losses,tr_win_rate,tr_fees,tr_blocked,va_return_pct,va_net_pnl,va_gross_profit,va_gross_loss,va_pf,va_sharpe,va_max_dd,va_trades,va_wins,va_losses,va_win_rate,va_fees,va_blocked
279,1.5884084115140624,49,12,66.0,24.0,8,12,3.2,18,29,1.4,2.7,0.026000000000000002,0.65,4.0,175.07078185349977,17507.078185349976,82475.76000000001,64968.700000000004,1.2694691443725978,1.8048194476600843,28.593674314573164,212.0,76.0,136.0,35.84905660377358,7909.79,0.0,81.90835057310008,8190.835057310007,28200.55,20009.7,1.4093439681754347,2.2747544849485637,20.297865459416837,93.0,36.0,57.0,38.70967741935484,2687.47,0.0
283,1.509301523369402,54,13,66.0,25.0,8,12,3.2,18,32,1.4,2.7,0.027,0.65,4.0,195.36208661684984,19536.208661684985,76770.43,57234.17999999999,1.3413388642940285,1.8987496802405857,25.493232857842475,194.0,71.0,123.0,36.597938144329895,6882.66,0.0,38.51546792120013,3851.5467921200125,22107.43,18255.86,1.2109771875989408,1.3307819026440382,21.59863580118151,94.0,34.0,60.0,36.170212765957444,2132.78,0.0
281,1.4422569326774315,50,14,66.0,24.0,8,12,3.2,18,33,1.4,2.7,0.026000000000000002,0.65,4.0,186.5138780667999,18651.387806679988,77806.81999999999,59155.48,1.3152935281735518,1.868358410539893,26.134583748247614,206.0,74.0,132.0,35.922330097087375,7256.91,0.0,37.279357178750125,3727.9357178750124,21483.969999999998,17756.010000000002,1.2099548265629494,1.3094675021234123,24.75497340847916,99.0,35.0,64.0,35.35353535353536,2180.29,0.0
272,1.393534876860706,50,11,66.0,24.0,8,12,3.0,18,29,1.4,2.7,0.026000000000000002,0.65,4.0,150.59353758874977,15059.353758874979,66823.75,51764.409999999996,1.2909207310582698,1.7537206809406103,27.028406447397828,190.0,68.0,122.0,35.78947368421053,6640.95,0.0,74.20066886220012,7420.066886220011,22094.08,14674.05,1.505656584242251,2.259063330007871,16.69037715374686,79.0,32.0,47.0,40.50632911392405,2119.27,0.0
285,1.3168705868502188,54,14,66.0,25.0,8,13,3.4000000000000004,18,33,1.4,2.7,0.027,0.65,4.0,158.04490886794915,15804.490886794916,74574.91,58770.460000000014,1.2689182626782227,1.6301484298819404,33.66728626819242,208.0,73.0,135.0,35.09615384615385,6742.69,0.0,43.11604742465008,4311.604742465008,22817.8,18506.149999999998,1.232984710488135,1.4255764153458808,23.84517391123522,97.0,35.0,62.0,36.08247422680412,2203.95,0.0
287,1.2759970930418045,54,14,66.0,25.0,8,13,3.3000000000000003,18,33,1.4,2.7,0.027,0.65,4.0,148.8355256155495,14883.552561554952,66373.13,51489.54,1.2890604577162663,1.6129067022754584,32.679656341225986,197.0,69.0,128.0,35.025380710659896,6036.65,0.0,43.688099017450064,4368.809901745006,21839.42,17470.539999999997,1.2500712628230153,1.4556686148127862,23.964454985629978,93.0,34.0,59.0,36.55913978494624,2082.99,0.0
286,1.2325470272828312,55,14,66.0,25.0,8,13,3.3000000000000003,18,33,1.4,2.7,0.027,0.65,4.0,136.7881186099495,13678.811860994949,63570.47,49891.72,1.2741687398229606,1.5567716811197796,32.152754560367605,192.0,67.0,125.0,34.895833333333336,5819.32,0.0,56.59157965829999,5659.15796583,23020.149999999998,17360.969999999998,1.3259714174956814,1.7483148346443402,21.69217270539199,90.0,34.0,56.0,37.77777777777778,2118.7,0.0
288,1.2325470272828312,55,14,66.0,25.0,8,13,3.3000000000000003,18,33,1.4,2.7,0.027,0.65,4.0,136.7881186099495,13678.811860994949,63570.47,49891.72,1.2741687398229606,1.5567716811197796,32.152754560367605,192.0,67.0,125.0,34.895833333333336,5819.32,0.0,56.59157965829999,5659.15796583,23020.149999999998,17360.969999999998,1.3259714174956814,1.7483148346443402,21.69217270539199,90.0,34.0,56.0,37.77777777777778,2118.7,0.0
264,1.1279558663926381,50,10,65.0,22.0,8,10,2.9000000000000004,19,29,1.4,2.6,0.026000000000000002,0.65,4.0,109.66344606925009,10966.34460692501,60932.53,49966.16,1.2194759413170833,1.4332133979535917,25.58438015486253,211.0,76.0,135.0,36.018957345971565,6336.41,0.0,88.90115995949989,8890.11599594999,21542.17,12652.05,1.7026624143913436,2.6128785312079437,19.59687781610383,76.0,33.0,43.0,43.421052631578945,2069.43,0.0
296,1.099783336868478,58,14,67.0,25.0,8,13,3.5,17,35,1.4,2.7,0.028,0.65,4.0,134.63285425294927,13463.285425294926,67589.20999999999,54125.83000000001,1.2487422363777143,1.4656283765199216,36.53398675840754,204.0,70.0,134.0,34.31372549019608,6008.65,0.0,34.446800392249955,3444.680039224995,23285.73,19841.079999999998,1.1736120211198182,1.2011569891081244,23.45203514643851,96.0,34.0,62.0,35.416666666666664,2275.01,0.0
