trial,score,enabled,length,std,min_bandwidth_pct,expansion_lookback,expansion_min_ratio,min_mid_distance,va_trades_ratio,tr_on_return_pct,tr_on_pf,tr_on_sharpe,tr_on_max_dd,tr_on_trades,tr_on_wins,tr_on_losses,tr_on_win_rate,tr_on_gross_profit,tr_on_gross_loss,tr_on_net_pnl,tr_on_fees,tr_on_blocked,va_on_return_pct,va_on_pf,va_on_sharpe,va_on_max_dd,va_on_trades,va_on_wins,va_on_losses,va_on_win_rate,va_on_gross_profit,va_on_gross_loss,va_on_net_pnl,va_on_fees,va_on_blocked
134,0.7087546921723085,True,11,2.3,0.1,10,1.25,0.29,0.43636363636363634,11.839444320299972,1.2407016602217695,0.7936393012564118,10.619685886624048,102.0,27.0,75.0,26.470588235294116,6102.54,4918.62,1183.92,566.06,829.0,20.503115970000035,2.0557180371762525,2.5827637901639044,5.261572163156495,48.0,17.0,31.0,35.416666666666664,3992.4100000000003,1942.1000000000001,2050.3100000000004,260.64,300.0
121,0.694011592415863,True,12,2.2,0.0,11,1.35,0.25,0.4,10.345389137700003,1.2673226647510423,0.7968021673149017,10.355611103000669,81.0,21.0,60.0,25.925925925925927,4904.450000000001,3869.93,1034.520000000001,449.32,911.0,19.526128990149992,2.119396910023791,2.5765393563810957,5.578561986911609,44.0,16.0,28.0,36.36363636363637,3696.9700000000003,1744.3500000000001,1952.6200000000001,238.9,329.0
132,0.6826037755760498,True,12,2.2,0.0,12,1.3,0.29,0.4090909090909091,15.257465212050011,1.3914342961668809,1.1496378449426903,9.647322254971884,83.0,24.0,59.0,28.91566265060241,5423.63,3897.8700000000003,1525.7599999999998,475.37,913.0,18.987739288699995,2.0305007109596325,2.571020268285091,6.365944346814216,45.0,15.0,30.0,33.333333333333336,3741.3599999999997,1842.58,1898.7799999999997,240.98,330.0
111,0.6801153719897447,True,11,2.2,0.2,12,1.2000000000000002,0.3,0.4727272727272727,14.900504054950034,1.296073456038246,1.0109314158439082,10.200858740035585,104.0,30.0,74.0,28.846153846153847,6522.71,5032.67,1490.04,608.1,831.0,20.146728062800012,1.9859691880040722,2.614734339727639,5.968792454727252,52.0,19.0,33.0,36.53846153846154,4058.0500000000006,2043.36,2014.6900000000007,279.69,291.0
115,0.6798239330439597,True,12,2.2,0.1,12,1.3,0.28,0.4090909090909091,14.807294748350014,1.369195555910161,1.1134123835617529,10.421575174199047,86.0,25.0,61.0,29.069767441860463,5491.46,4010.72,1480.7400000000002,493.94,908.0,18.987739288699995,2.0305007109596325,2.571020268285091,6.365944346814216,45.0,15.0,30.0,33.333333333333336,3741.3599999999997,1842.58,1898.7799999999997,240.98,329.0
103,0.6792941595941016,True,11,2.0,0.2,13,1.1500000000000001,0.35000000000000003,0.4636363636363636,15.958643544150055,1.3269265044814342,1.0978266547283528,12.04385115014664,100.0,27.0,73.0,27.0,6477.06,4881.25,1595.8100000000004,589.09,829.0,20.360007460799935,1.987587250617242,2.644718548088111,6.643900946310792,51.0,19.0,32.0,37.254901960784316,4097.59,2061.59,2036.0,277.16,293.0
102,0.6671796811733552,True,11,2.0,0.0,13,1.1,0.37,0.5,23.12605777629997,1.4573214020863203,1.4767435607939856,9.292097680989757,104.0,31.0,73.0,29.807692307692307,7369.31,5056.75,2312.5600000000004,633.61,801.0,20.725205478499955,1.9232623096147081,2.6553176190076857,7.258731747004216,55.0,20.0,35.0,36.36363636363637,4317.320000000001,2244.79,2072.5300000000007,298.3,291.0
109,0.6664250714953153,True,11,2.0,0.2,12,1.2000000000000002,0.32,0.4727272727272727,17.66459993235001,1.3501067289797422,1.1620978552868364,10.209932559559384,106.0,31.0,75.0,29.245283018867923,6811.95,5045.490000000001,1766.4599999999991,619.68,826.0,19.853748559150024,1.95967266364401,2.549173206277352,5.968792454727252,52.0,19.0,33.0,36.53846153846154,4054.2100000000005,2068.8199999999997,1985.3900000000008,279.51,287.0
110,0.6664250714953153,True,11,2.1,0.2,12,1.2000000000000002,0.3,0.4727272727272727,17.66459993235001,1.3501067289797422,1.1620978552868364,10.209932559559384,106.0,31.0,75.0,29.245283018867923,6811.95,5045.490000000001,1766.4599999999991,619.68,823.0,19.853748559150024,1.95967266364401,2.549173206277352,5.968792454727252,52.0,19.0,33.0,36.53846153846154,4054.2100000000005,2068.8199999999997,1985.3900000000008,279.51,286.0
131,0.64939150716723,True,12,2.2,0.1,12,1.25,0.29,0.4636363636363636,15.903001701199956,1.3789360064620204,1.1869103442036153,9.46599723616413,92.0,27.0,65.0,29.347826086956523,5787.160000000001,4196.83,1590.3300000000008,527.67,884.0,19.07950701105001,1.9455225729719015,2.55367241895466,6.365944346814216,51.0,17.0,34.0,33.333333333333336,3925.87,2017.8999999999999,1907.97,273.56,314.0
