stage,trial,score,gated,ema_period,rsi_period,rsi_overbought,rsi_oversold,atr_period,consolidation_candles,consolidation_atr_mult,swing_lookback,volume_sma_period,volume_mult,risk_reward_ratio,leverage,risk_per_trade_pct,max_position_allocation_pct,tr_return_pct,tr_pf,tr_sharpe,tr_max_dd,tr_trades,tr_wins,tr_losses,tr_win_rate,tr_gross_profit,tr_gross_loss,tr_net_pnl,tr_fees,tr_blocked,tr_head_dropped,va_return_pct,va_pf,va_sharpe,va_max_dd,va_trades,va_wins,va_losses,va_win_rate,va_gross_profit,va_gross_loss,va_net_pnl,va_fees,va_blocked,va_head_dropped,c_va_ret,c_va_pf,c_va_dd,c_va_sample,c_tr_ret,c_tr_pf,c_consistency,c_gate_shortfall
1b_narrow,10,-1.0640456488298258,False,119,21,77.0,24.0,13,10,3.6,14,33,1.4,2.7,1.0,0.015,0.5,-11.444130666000182,0.8529760535893921,-0.6550658160818598,18.401833233208002,184,47,137,25.543478260869566,6639.25,7783.63,-1144.38,897.01,0,4,-6.639020763500065,0.8363855023818502,-0.7763519745205554,12.99682431181255,87,25,62,28.735632183908045,3393.86,4057.77,-663.9099999999999,406.95,0,0,,,,,,,,0.38427389297895476
1b_narrow,11,0.10305608792912171,True,121,16,71.0,20.0,9,4,3.5,17,32,0.9,2.7,1.0,0.015,0.5,3.5133039449997523,1.031116440454915,0.24272418799577045,14.12194610993076,247,72,175,29.149797570850204,11643.14,11291.78,351.35999999999876,1305.68,0,4,12.280441616999834,1.307802399697218,1.2775139772243516,10.628361896943604,85,29,56,34.11764705882353,5217.7,3989.67,1228.0299999999997,432.99,0,4,0.0368413248509995,0.07695059992430447,-0.0,0.06746031746031747,0.0035133039449997527,0.0015558220227457455,-0.08326528027424523,
1b_narrow,12,0.13581246994350435,True,123,17,73.0,24.0,7,4,3.5,17,35,0.9,2.7,1.0,0.015,0.5,5.858005275499744,1.0621289315881648,0.3663876358332584,12.081610111237042,197,62,135,31.472081218274113,10012.87,9427.170000000002,585.6999999999989,1060.51,0,4,11.781065099999797,1.3071770684229325,1.2449598650408737,10.628361896943604,82,28,54,34.146341463414636,5013.5599999999995,3835.41,1178.1499999999996,417.25,0,7,0.03534319529999939,0.07679426710573312,-0.0,0.06507936507936508,0.005858005275499744,0.00310644657940824,-0.05036880939650123,
1b_narrow,13,-1.0006731405325002,False,117,17,69.0,25.0,9,8,3.4,14,40,0.7,2.8,1.0,0.015,0.5,-0.4038843195001027,0.9956235282410067,0.046075716266078016,17.60131188436653,216,66,150,30.555555555555557,9204.43,9244.89,-40.45999999999913,1129.05,0,7,7.72796104449988,1.165538839870016,0.9088889968537073,10.588957259505554,104,32,72,30.76923076923077,5441.05,4668.27,772.7799999999997,532.89,0,1,,,,,,,,0.004038843195001027
1b_narrow,14,0.10737926215278257,True,124,20,77.0,20.0,9,5,3.6,15,44,1.0,2.6,1.0,0.015,0.5,6.943705428999783,1.0636941740269557,0.4072423160191528,12.234451352612924,240,76,164,31.666666666666668,11595.16,10900.84,694.3199999999997,1271.36,0,4,5.226623845999985,1.1283967357927889,0.6391886813005014,14.295465105563828,89,29,60,32.58426966292135,4593.500000000001,4070.82,522.6800000000007,430.93,0,8,0.015679871537999955,0.03209918394819722,-0.0,0.07063492063492065,0.006943705428999783,0.003184708701347783,-0.02116312809868282,
1b_narrow,15,0.10169774258527677,True,117,19,74.0,22.0,8,6,3.6,16,37,1.4,2.8,1.0,0.015,0.5,4.1718373504998265,1.0505997729015226,0.28605656202838264,8.08768409341289,184,54,130,29.347826086956523,8660.219999999998,8243.119999999999,417.09999999999854,950.32,0,4,4.022047872499879,1.1141160481987873,0.503575299799611,10.420789613620741,72,22,50,30.555555555555557,3926.78,3524.57,402.21000000000004,350.02,0,1,0.012066143617499638,0.028529012049696822,-0.0,0.05714285714285714,0.004171837350499827,0.0025299886450761313,-0.002742096220352794,
1b_narrow,16,-1.0052408044108336,False,125,17,69.0,23.0,10,7,3.5,14,34,0.8,2.6,1.0,0.015,0.5,-3.1444826465001463,0.9658457438316753,-0.10592253403784743,18.511172041213328,213,64,149,30.046948356807512,8893.439999999999,9207.93,-314.4900000000016,1109.17,0,3,7.413654234499864,1.1775924346801312,0.8742901590921458,11.470071497148258,95,32,63,33.68421052631579,4916.26,4174.840000000001,741.4199999999992,479.78000000000003,0,6,,,,,,,,0.03144482646500146
1b_narrow,17,0.09595945577125925,True,121,19,67.0,26.0,7,4,3.4,16,42,0.5,3.1,1.0,0.015,0.5,3.9761144154998873,1.0418783663540971,0.26629085641069344,17.33545737446464,194,54,140,27.835051546391753,9894.25,9496.55,397.7000000000007,1053.43,0,5,7.285692598999885,1.1786138914833584,0.7799233325796234,9.772282805062597,85,25,60,29.41176470588235,4807.79,4079.1899999999996,728.6000000000004,431.3,0,4,0.021857077796999653,0.044653472870839594,-0.0,0.06746031746031747,0.003976114415499887,0.002093918317704857,-0.044081445090102214,
1b_narrow,18,-1.0096049832408336,False,115,16,71.0,21.0,8,8,3.7,17,36,1.1,2.9,1.0,0.015,0.5,-5.762989944500187,0.9414781162354767,-0.22787217823660097,13.419905857032651,222,62,160,27.92792792792793,9271.62,9847.94,-576.3199999999997,1078.44,0,6,7.4780219819999365,1.181101542217228,0.8277005132719629,9.2839621885644,83,25,58,30.120481927710845,4876.91,4129.12,747.79,420.71,0,1,,,,,,,,0.05762989944500187
1b_narrow,19,-1.007718994926667,False,108,21,75.0,28.0,9,5,3.5,15,39,0.8,2.6,1.0,0.015,0.5,-4.63139695600019,0.9618033219522658,-0.14849091438167494,16.917239419285828,290,87,203,30.0,11662.250000000002,12125.399999999998,-463.149999999996,1445.41,0,5,4.97064698250002,1.0999599830279778,0.5914275378271133,12.036310335467903,108,34,74,31.48148148148148,5469.9800000000005,4972.889999999999,497.09000000000106,534.32,0,2,,,,,,,,0.046313969560001896
