trial,score,enabled,length,std,min_bandwidth_pct,expansion_lookback,expansion_min_ratio,min_mid_distance,tr_on_return_pct,tr_on_pf,tr_on_sharpe,tr_on_max_dd,tr_on_trades,tr_on_wins,tr_on_losses,tr_on_win_rate,tr_on_gross_profit,tr_on_gross_loss,tr_on_net_pnl,tr_on_fees,tr_on_blocked,tr_on_head_dropped,va_on_return_pct,va_on_pf,va_on_sharpe,va_on_max_dd,va_on_trades,va_on_wins,va_on_losses,va_on_win_rate,va_on_gross_profit,va_on_gross_loss,va_on_net_pnl,va_on_fees,va_on_blocked,va_on_head_dropped,c_gate_shortfall,c_valid_trade_ratio,c_va_pf,c_va_netpnl,c_va_dd,c_tr_pf,c_tr_netpnl,c_tr_dd,c_reason
124,0.2945533565452308,True,10,2.6,0.5,19,1.1500000000000001,0.03,60.5673018519994,1.2520747988877803,1.2842509251071954,22.426137661670133,149,51,98,34.22818791946309,30084.389999999996,24027.63,6056.759999999995,2860.8,1082,1,58.32993860999983,1.726276522494861,2.2648355282053583,17.438855188146103,60.0,24.0,36.0,40.0,13864.400000000001,8031.389999999999,5833.010000000002,906.69,414.0,3.0,,0.75,0.08752509371141581,0.07063878159399616,0.022603949345954815,0.02255002836335797,0.07821709554575274,0.013018407984753292,
134,0.2790330531496701,True,10,2.5,0.8,19,1.1500000000000001,0.06,67.64036269099972,1.3081231727393892,1.4086048223922523,22.446438560699516,125,47,78,37.6,28716.25999999999,21952.260000000006,6763.999999999985,2417.3,1262,1,50.821141051499886,1.6694487365424613,2.081813677371102,17.438855188146103,56.0,21.0,35.0,37.5,12673.57,7591.47,5082.099999999999,819.48,479.0,2.0,,0.7,0.06976641060129088,0.03579821600491808,0.022603949345954815,0.03305909846053463,0.10486570943399927,0.01293966930297241,
136,0.2777713106509981,True,10,2.5,0.8,19,1.1,0.06,68.5155562589996,1.3087394574017523,1.402633909893566,23.652365882750072,125,47,78,37.6,29043.690000000002,22192.11,6851.580000000002,2437.42,1239,1,50.821141051499886,1.6694487365424613,2.081813677371102,17.438855188146103,56.0,21.0,35.0,37.5,12673.57,7591.47,5082.099999999999,819.48,470.0,2.0,,0.7,0.06976641060129088,0.03579821600491808,0.022603949345954815,0.03317465183472773,0.10816570039086414,0.008262382473242461,
49,0.2600581787174104,True,11,2.7,0.6000000000000001,19,1.05,0.0,47.72754765049951,1.1912055862475113,1.0717543745760472,23.300142446824633,159,52,107,32.704402515723274,29734.04,24961.3,4772.740000000002,2992.35,992,1,62.83982157399986,1.751046370153292,2.3729609253645867,17.435736562319654,64.0,27.0,37.0,42.1875,14651.04,8367.020000000002,6284.019999999999,975.97,373.0,4.0,,0.8,0.09526567110467545,0.09156464952268259,0.022626731839958624,0.011137050993307529,0.029835565648141445,0.009628509608644753,
97,0.2546415482840894,True,12,2.6,1.3,18,1.0,0.04,42.0438942279997,1.2329071808121677,1.0091542656523886,20.945800675990522,105,36,69,34.285714285714285,22255.75,18051.440000000002,4204.309999999998,1703.39,1411,1,58.83616142849986,1.8305643666526914,2.336737694794241,18.424077868558086,53.0,22.0,31.0,41.509433962264154,12967.480000000001,7083.87,5883.6100000000015,758.1,521.0,2.0,,0.6625,0.12011504501073779,0.07298650984213152,0.015406603124248942,0.0189560999741806,0.008417275403675224,0.018760014929115318,
146,0.252217707793441,True,14,2.3,0.2,19,1.2000000000000002,0.1,63.947600355499745,1.3232295559749736,1.372191311283492,18.348321144011674,131,48,83,36.6412213740458,26178.8,19784.02,6394.779999999999,2433.57,1211,1,51.77412977599998,1.6315492222417394,2.1857529941471814,20.75264280497089,64.0,26.0,38.0,40.625,13375.31,8197.92,5177.389999999999,915.26,475.0,4.0,,0.8,0.05792281238231528,0.04021946155362996,-0.0016042598819490787,0.035891545317206716,0.0909535986656347,0.028834549756603413,
122,0.2402791746773389,True,10,2.7,0.8,18,1.1500000000000001,0.03,58.38102051649962,1.2694271895738531,1.2532533644857344,22.433229588016328,141,52,89,36.87943262411348,27506.709999999995,21668.600000000002,5838.109999999993,2484.25,1216,0,51.64026364499976,1.6679649048828156,2.07215955170217,17.438855188146103,56.0,22.0,34.0,39.285714285714285,12895.019999999999,7730.99,5164.029999999999,816.58,452.0,2.0,,0.7,0.06930271320765159,0.03959958705965585,0.022603949345954815,0.02580360161699663,0.06997842207328903,0.012990901373790976,
147,0.23388932784617789,True,14,2.3,0.0,19,1.1,0.11,58.1087816174996,1.29284110637676,1.2713994269851636,17.07534423332676,139,48,91,34.53237410071942,25654.04,19843.149999999998,5810.890000000003,2388.37,1141,1,51.449455987499896,1.616796021761387,2.1628481452112163,19.30857094881435,64.0,26.0,38.0,40.625,13486.31,8341.380000000001,5144.9299999999985,917.37,450.0,4.0,,0.8,0.053312437232205176,0.038713389242671925,0.008945116745712288,0.03019371101754166,0.0689527797594524,0.033771893848594435,
145,0.23299916654405037,True,14,2.4,0.0,19,1.2000000000000002,0.08,58.14029946699949,1.2930367704687096,1.2802008313387239,18.361087221783663,136,48,88,35.294117647058826,25654.69,19840.649999999998,5814.040000000001,2462.37,1192,1,53.054038232999936,1.6393452500744143,2.2243049629226515,20.75264280497089,66.0,27.0,39.0,40.90909090909091,13603.500000000002,8298.130000000001,5305.370000000001,952.61,465.0,4.0,,0.825,0.06035907108002621,0.046157450905336884,-0.0016042598819490787,0.03023039803478221,0.06907147091627033,0.028785035489583822,
100,0.22911297956818386,True,16,2.5,1.1,17,1.05,0.02,76.0426599044996,1.4075511600822994,1.5305383604134475,15.905505565744996,115,42,73,36.52173913043478,26262.92,18658.590000000004,7604.3299999999945,2045.96,1287,0,36.423223666999895,1.47175268200251,1.6660359129442694,17.030247125952165,58.0,22.0,36.0,37.93103448275862,11363.269999999999,7720.91,3642.3599999999988,788.95,486.0,4.0,,0.725,0.007986393557556093,-0.031002540279082814,0.02558895339738441,0.051701846087330305,0.13652911889713873,0.03830920790785714,
