stage,trial,score,gated,ema_period,rsi_period,rsi_overbought,rsi_oversold,atr_period,consolidation_candles,consolidation_atr_mult,swing_lookback,volume_sma_period,volume_mult,risk_reward_ratio,leverage,risk_per_trade_pct,max_position_allocation_pct,tr_return_pct,tr_pf,tr_sharpe,tr_max_dd,tr_trades,tr_wins,tr_losses,tr_win_rate,tr_gross_profit,tr_gross_loss,tr_net_pnl,tr_fees,tr_blocked,tr_head_dropped,va_return_pct,va_pf,va_sharpe,va_max_dd,va_trades,va_wins,va_losses,va_win_rate,va_gross_profit,va_gross_loss,va_net_pnl,va_fees,va_blocked,va_head_dropped,c_gate_shortfall,c_va_ret,c_va_pf,c_va_dd,c_va_sample,c_tr_ret,c_tr_pf,c_consistency
1a_broad,67,-1.0059492271616668,False,109,20,78.0,22.0,11,4,3.6,11,24,1.6,3.1,1.0,0.015,0.5,-3.5695362970000857,0.9562860466540134,-0.11726788398107649,11.589717828826176,186.0,50.0,136.0,26.881720430107528,7809.51,8166.5,-356.9899999999998,904.32,0.0,4.0,8.229473968999972,1.2024262817674665,0.9891827077351449,9.114331775096462,85.0,22.0,63.0,25.88235294117647,4888.44,4065.48,822.9599999999996,426.34,0.0,1.0,0.03569536297000086,,,,,,,
1a_broad,68,-1.02323736584748,False,96,19,78.0,25.0,10,7,3.7,12,29,1.5,2.9000000000000004,1.0,0.015,0.5,-4.253389915500084,0.9573582098828551,-0.16036604726823686,12.845567375722108,223.0,60.0,163.0,26.905829596412556,9550.280000000002,9975.66,-425.3799999999974,1106.32,0.0,4.0,-1.5110509690000435,0.9641312244481269,-0.1087647002768171,12.666690745640786,92.0,23.0,69.0,25.0,4060.94,4212.02,-151.08000000000038,443.58,0.0,1.0,0.13942419508488044,,,,,,,
1a_broad,69,-1.024159053915,False,103,19,75.0,20.0,12,5,3.5,9,26,1.7000000000000002,2.7,1.0,0.015,0.5,-14.495432349000021,0.8173217609600012,-0.8344993856443808,17.013531369877903,200.0,51.0,149.0,25.5,6485.44,7934.99,-1449.5500000000002,913.41,0.0,4.0,9.628575383499902,1.2530518813255085,1.2136752743617183,10.293767501334964,89.0,27.0,62.0,30.337078651685392,4767.9,3805.0299999999997,962.8699999999999,461.94,0.0,2.0,0.1449543234900002,,,,,,,
1a_broad,70,-1.0112770625334764,False,123,21,77.0,22.0,13,6,3.8000000000000003,10,21,1.7000000000000002,3.0,1.0,0.015,0.5,-0.598928159500174,0.9919267464424321,0.031106654796025222,10.320582083492658,167.0,45.0,122.0,26.94610778443114,7360.89,7420.8,-59.909999999999854,825.76,0.0,2.0,-0.38986679200004803,0.9893368530298506,0.022834738259446877,10.940305581938519,76.0,18.0,58.0,23.68421052631579,3612.89,3651.8300000000004,-38.94000000000051,371.52,0.0,1.0,0.0676623752008588,,,,,,,
1a_broad,71,0.10988861103406282,True,105,18,79.0,21.0,10,4,3.9000000000000004,12,30,1.7000000000000002,2.7,1.0,0.015,0.5,4.404301549999873,1.054525396153246,0.304051778220296,11.293404583996146,191.0,59.0,132.0,30.89005235602094,8516.789999999999,8076.42,440.369999999999,989.71,0.0,4.0,5.590130377999976,1.1357748832374377,0.7171277708332041,9.410208585390736,88.0,25.0,63.0,28.40909090909091,4676.36,4117.33,559.0299999999997,443.59,0.0,3.0,,0.01677039113399993,0.03394372080935942,-0.0,0.06984126984126984,0.004404301549999873,0.0027262698076622963,-0.01779734210822854
1a_broad,72,0.04957789241611357,True,105,18,79.0,21.0,10,4,3.6,12,30,1.7000000000000002,2.8,1.0,0.015,0.5,1.847316033499883,1.023456366891403,0.16552634195949523,11.081563659712979,186.0,54.0,132.0,29.032258064516128,8060.64,7875.900000000001,184.73999999999978,934.33,0.0,4.0,7.405854626499822,1.1784260057921292,0.9158475997679314,9.219287370143759,88.0,25.0,63.0,28.40909090909091,4891.009999999999,4150.459999999999,740.5500000000002,447.51,0.0,2.0,,0.022217563879499466,0.0446065014480323,-0.0,0.06984126984126984,0.001847316033499883,0.001172818344570148,-0.09010757713075807
1a_broad,73,0.13372869030754667,True,105,18,79.0,21.0,10,4,3.4000000000000004,11,30,0.6,2.7,1.0,0.015,0.5,6.714796441499675,1.061393114520875,0.3946712857718463,14.032908894497071,255.0,78.0,177.0,30.58823529411765,11608.690000000002,10937.219999999998,671.4700000000048,1404.84,0.0,5.0,5.355847176999977,1.1022311893122803,0.6251507775534149,11.903118834844577,125.0,38.0,87.0,30.4,5774.489999999999,5238.910000000001,535.5799999999981,630.67,0.0,4.0,,0.01606754153099993,0.025557797328070064,-0.0,0.09920634920634921,0.006714796441499676,0.003069655726043752,-0.016887449925415965
1a_broad,74,-1.0024169411666668,False,117,18,76.0,24.0,11,4,3.2,11,25,0.9,3.0,1.0,0.015,0.5,-1.4501647000000595,0.9865796212283805,0.0057295294731843855,14.6006068021917,251.0,67.0,184.0,26.693227091633467,10664.61,10809.68,-145.0699999999997,1273.95,0.0,6.0,2.718468464999951,1.0548276175014373,0.3606280652855589,13.369530585910223,106.0,29.0,77.0,27.358490566037737,5230.31,4958.449999999999,271.8600000000015,525.94,0.0,2.0,0.014501647000000594,,,,,,,
1a_broad,75,0.10564161655689133,True,110,17,78.0,21.0,9,5,3.4000000000000004,9,31,0.7,2.6,1.0,0.015,0.5,3.3610520094997813,1.0270171839098017,0.23491156594895132,16.119687473016047,311.0,96.0,215.0,30.868167202572348,12774.43,12438.380000000001,336.0499999999993,1643.79,0.0,5.0,5.4334371074999215,1.1116511338765525,0.6502708783005688,11.457108763188053,116.0,35.0,81.0,30.17241379310345,5409.3499999999985,4866.05,543.2999999999984,592.16,0.0,2.0,,0.016300311322499764,0.027912783469138114,-0.0,0.09206349206349207,0.0033610520094997814,0.001350859195490084,-0.03534688150322848
1a_broad,76,-1.004756072628333,False,109,17,78.0,21.0,9,4,3.4000000000000004,9,31,0.6,3.2,1.0,0.015,0.5,-2.85364357699993,0.9736604077292832,-0.06079423606381425,20.723833724169502,232.0,58.0,174.0,25.0,10549.26,10834.64,-285.3799999999992,1231.03,0.0,6.0,7.608146324999944,1.152636974827007,0.8330915222751291,10.733234547036647,113.0,31.0,82.0,27.43362831858407,5745.099999999999,4984.3099999999995,760.79,578.38,0.0,2.0,0.0285364357699993,,,,,,,
